ti_uid,gene,pool,indication_mesh_id,indication_mesh_term,panukb_phenotype_id,comparison_population,window_type,chrom,gene_start_1based,gene_end_1based,gene_length_bp,query_start_0based,query_end_0based_exclusive,window_length_bp,gene_fraction_of_window,overlaps_extended_mhc,n_records_raw,n_biallelic_snps,n_eur_effect_complete,n_cross_effect_complete,n_cross_not_low_confidence,n_cross_maf_ge_0_01,n_duplicate_variant_rows,n_eur_p_le_1e_5_cross_usable,n_eur_gws_cross_usable,passes_raw_count_gate,raw_gate_minimum,final_ld_independent_minimum
CHRM3-D001249,CHRM3,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,1,239549865,240078750,528886,239539864,240088750,548886,0.9635625612604439,False,5330,4974,4134,2626,2083,1279,0,0,0,False,10,10
CHRM3-D001249,CHRM3,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,1,239549865,240078750,528886,239539864,240088750,548886,0.9635625612604439,False,5330,4974,4134,2222,1750,1294,0,0,0,False,10,10
CSF2-D001249,CSF2,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,5,131409483,131411859,2377,131409482,131411859,2377,1.0,False,23,22,16,9,7,4,0,1,0,False,10,10
CSF2-D001249,CSF2,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,5,131409483,131411859,2377,131409482,131411859,2377,1.0,False,23,22,16,9,6,5,0,1,0,False,10,10
CSF2-D001249,CSF2,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,5,131409483,131411859,2377,131399482,131421859,22377,0.10622514188675873,False,251,244,188,90,73,43,0,4,0,False,10,10
CSF2-D001249,CSF2,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,5,131409483,131411859,2377,131399482,131421859,22377,0.10622514188675873,False,251,244,188,83,61,43,0,4,0,False,10,10
FGFR3-D001249,FGFR3,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,4,1795034,1810599,15566,1795033,1810599,15566,1.0,False,207,203,160,99,75,36,0,0,0,False,10,10
FGFR3-D001249,FGFR3,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,4,1795034,1810599,15566,1795033,1810599,15566,1.0,False,207,203,160,79,63,36,0,0,0,False,10,10
FGFR3-D001249,FGFR3,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,4,1795034,1810599,15566,1785033,1820599,35566,0.4376651858516561,False,446,428,337,201,146,66,0,0,0,False,10,10
FGFR3-D001249,FGFR3,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,4,1795034,1810599,15566,1785033,1820599,35566,0.4376651858516561,False,446,428,337,169,134,65,0,0,0,False,10,10
GATA3-D001249,GATA3,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,10,8095567,8117161,21595,8095566,8117161,21595,1.0,False,237,215,182,126,105,78,0,24,0,False,10,10
GATA3-D001249,GATA3,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,10,8095567,8117161,21595,8095566,8117161,21595,1.0,False,237,215,182,113,97,82,0,24,0,False,10,10
GATA3-D001249,GATA3,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,10,8095567,8117161,21595,8085566,8127161,41595,0.5191729775213367,False,499,458,392,280,214,160,0,33,1,False,10,10
GATA3-D001249,GATA3,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,10,8095567,8117161,21595,8085566,8127161,41595,0.5191729775213367,False,499,458,392,243,199,163,0,33,1,False,10,10
HRH4-D001249,HRH4,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,18,22040593,22059921,19329,22040592,22059921,19329,1.0,False,181,173,146,98,76,58,0,0,0,False,10,10
HRH4-D001249,HRH4,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,18,22040593,22059921,19329,22040592,22059921,19329,1.0,False,181,173,146,82,67,57,0,0,0,False,10,10
HRH4-D001249,HRH4,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,18,22040593,22059921,19329,22030592,22069921,39329,0.4914693991710951,False,388,360,296,184,138,106,0,0,0,False,10,10
HRH4-D001249,HRH4,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,18,22040593,22059921,19329,22030592,22069921,39329,0.4914693991710951,False,388,360,296,161,132,105,0,0,0,False,10,10
IL13-D001249,IL13,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,5,131991955,131996802,4848,131991954,131996802,4848,1.0,False,49,46,36,20,14,10,0,7,7,False,10,10
IL13-D001249,IL13,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,5,131991955,131996802,4848,131991954,131996802,4848,1.0,False,49,46,36,20,15,10,0,7,7,False,10,10
IL13-D001249,IL13,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,5,131991955,131996802,4848,131981954,132006802,24848,0.19510624597553122,False,263,252,205,124,84,46,0,31,24,True,10,10
IL13-D001249,IL13,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,5,131991955,131996802,4848,131981954,132006802,24848,0.19510624597553122,False,263,252,205,106,83,49,0,31,24,True,10,10
IL17RB-D001249,IL17RB,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,3,53880607,53899827,19221,53880606,53899827,19221,1.0,False,244,219,181,119,91,60,0,0,0,False,10,10
IL17RB-D001249,IL17RB,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,3,53880607,53899827,19221,53880606,53899827,19221,1.0,False,244,219,181,107,83,59,0,0,0,False,10,10
IL17RB-D001249,IL17RB,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,3,53880607,53899827,19221,53870606,53909827,39221,0.4900690956375411,False,476,435,355,236,183,118,0,0,0,False,10,10
IL17RB-D001249,IL17RB,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,3,53880607,53899827,19221,53870606,53909827,39221,0.4900690956375411,False,476,435,355,208,161,118,0,0,0,False,10,10
IL1RL1-D001249,IL1RL1,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,2,102927962,102968497,40536,102927961,102968497,40536,1.0,False,415,393,302,209,174,137,0,44,43,True,10,10
IL1RL1-D001249,IL1RL1,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,2,102927962,102968497,40536,102927961,102968497,40536,1.0,False,415,393,302,198,172,140,0,44,43,True,10,10
IL1RL1-D001249,IL1RL1,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,2,102927962,102968497,40536,102917961,102978497,60536,0.6696180784987446,False,755,698,544,387,328,258,0,114,113,True,10,10
IL1RL1-D001249,IL1RL1,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,2,102927962,102968497,40536,102917961,102978497,60536,0.6696180784987446,False,755,698,544,351,311,260,0,114,113,True,10,10
IL3-D001249,IL3,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,5,131396222,131398897,2676,131396221,131398897,2676,1.0,False,27,26,20,7,7,3,0,0,0,False,10,10
IL3-D001249,IL3,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,5,131396222,131398897,2676,131396221,131398897,2676,1.0,False,27,26,20,6,6,3,0,0,0,False,10,10
IL3-D001249,IL3,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,5,131396222,131398897,2676,131386221,131408897,22676,0.11801023108131946,False,267,253,188,91,78,45,0,3,0,False,10,10
IL3-D001249,IL3,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,5,131396222,131398897,2676,131386221,131408897,22676,0.11801023108131946,False,267,253,188,72,61,44,0,3,0,False,10,10
IL33-D001249,IL33,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,9,6215805,6257983,42179,6215804,6257983,42179,1.0,False,438,418,341,199,157,125,0,30,26,True,10,10
IL33-D001249,IL33,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,9,6215805,6257983,42179,6215804,6257983,42179,1.0,False,438,418,341,184,153,126,0,31,26,True,10,10
IL33-D001249,IL33,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,9,6215805,6257983,42179,6205804,6267983,62179,0.6783479953038807,False,746,708,567,326,244,190,0,42,36,True,10,10
IL33-D001249,IL33,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,9,6215805,6257983,42179,6205804,6267983,62179,0.6783479953038807,False,746,708,567,300,250,192,0,43,36,True,10,10
IL4R-D001249,IL4R,A,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,16,27324989,27376099,51111,27324988,27376099,51111,1.0,False,611,568,479,307,214,147,0,48,27,True,10,10
IL4R-D001249,IL4R,A,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,16,27324989,27376099,51111,27324988,27376099,51111,1.0,False,611,568,479,273,222,147,0,50,27,True,10,10
IL4R-D001249,IL4R,A,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,16,27324989,27376099,51111,27314988,27386099,71111,0.7187495605461883,False,838,778,651,399,280,193,0,65,31,True,10,10
IL4R-D001249,IL4R,A,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,16,27324989,27376099,51111,27314988,27386099,71111,0.7187495605461883,False,838,778,651,358,287,197,0,71,31,True,10,10
IL5-D001249,IL5,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,5,131877136,131892530,15395,131877135,131892530,15395,1.0,False,121,107,80,43,28,11,0,9,8,False,10,10
IL5-D001249,IL5,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,5,131877136,131892530,15395,131877135,131892530,15395,1.0,False,121,107,80,40,36,10,0,9,8,False,10,10
IL5-D001249,IL5,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,5,131877136,131892530,15395,131867135,131902530,35395,0.43494843904506286,False,205,185,139,74,50,21,0,10,8,False,10,10
IL5-D001249,IL5,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,5,131877136,131892530,15395,131867135,131902530,35395,0.43494843904506286,False,205,185,139,66,55,20,0,10,8,False,10,10
IL6-D001249,IL6,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,7,22765503,22771621,6119,22765502,22771621,6119,1.0,False,68,66,55,33,28,20,0,1,0,False,10,10
IL6-D001249,IL6,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,7,22765503,22771621,6119,22765502,22771621,6119,1.0,False,68,66,55,27,23,20,0,1,0,False,10,10
IL6-D001249,IL6,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,7,22765503,22771621,6119,22755502,22781621,26119,0.2342739002258892,False,336,319,258,146,133,104,0,3,0,False,10,10
IL6-D001249,IL6,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,7,22765503,22771621,6119,22755502,22781621,26119,0.2342739002258892,False,336,319,258,126,107,101,0,3,0,False,10,10
ITGB7-D001249,ITGB7,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,12,53585102,53601091,15990,53585101,53601091,15990,1.0,False,127,125,93,57,43,31,0,0,0,False,10,10
ITGB7-D001249,ITGB7,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,12,53585102,53601091,15990,53585101,53601091,15990,1.0,False,127,125,93,58,45,36,0,0,0,False,10,10
ITGB7-D001249,ITGB7,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,12,53585102,53601091,15990,53575101,53611091,35990,0.44429008057793834,False,282,276,203,133,90,64,0,0,0,False,10,10
ITGB7-D001249,ITGB7,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,12,53585102,53601091,15990,53575101,53611091,35990,0.44429008057793834,False,282,276,203,125,92,70,0,0,0,False,10,10
KIT-D001249,KIT,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,4,55524085,55606881,82797,55524084,55606881,82797,1.0,False,803,745,646,407,272,175,0,0,0,False,10,10
KIT-D001249,KIT,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,4,55524085,55606881,82797,55524084,55606881,82797,1.0,False,803,745,646,320,261,177,0,0,0,False,10,10
KIT-D001249,KIT,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,4,55524085,55606881,82797,55514084,55616881,102797,0.8054417930484352,False,1010,923,799,515,352,237,0,0,0,False,10,10
KIT-D001249,KIT,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,4,55524085,55606881,82797,55514084,55616881,102797,0.8054417930484352,False,1010,923,799,404,332,238,0,0,0,False,10,10
MMP12-D001249,MMP12,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,11,102733467,102745764,12298,102733466,102745764,12298,1.0,False,104,96,74,47,40,20,0,0,0,False,10,10
MMP12-D001249,MMP12,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,11,102733467,102745764,12298,102733466,102745764,12298,1.0,False,104,96,74,32,25,20,0,0,0,False,10,10
MMP12-D001249,MMP12,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,11,102733467,102745764,12298,102723466,102755764,32298,0.38076661093566166,False,303,276,218,144,123,65,0,0,0,False,10,10
MMP12-D001249,MMP12,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,11,102733467,102745764,12298,102723466,102755764,32298,0.38076661093566166,False,303,276,218,108,79,67,0,0,0,False,10,10
NFKB1-D001249,NFKB1,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,4,103422486,103538459,115974,103422485,103538459,115974,1.0,False,960,894,692,425,331,193,0,0,0,False,10,10
NFKB1-D001249,NFKB1,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,4,103422486,103538459,115974,103422485,103538459,115974,1.0,False,960,894,692,374,315,236,0,0,0,False,10,10
NFKB1-D001249,NFKB1,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,4,103422486,103538459,115974,103412485,103548459,135974,0.8529130569079383,False,1119,1034,798,500,392,229,0,0,0,False,10,10
NFKB1-D001249,NFKB1,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,4,103422486,103538459,115974,103412485,103548459,135974,0.8529130569079383,False,1119,1034,798,437,368,276,0,0,0,False,10,10
NR3C1-D001249,NR3C1,A,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,5,142657496,142815077,157582,142657495,142815077,157582,1.0,False,1334,1246,948,595,350,201,0,0,0,False,10,10
NR3C1-D001249,NR3C1,A,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,5,142657496,142815077,157582,142657495,142815077,157582,1.0,False,1334,1246,948,360,272,216,0,0,0,False,10,10
NR3C1-D001249,NR3C1,A,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,5,142657496,142815077,157582,142647495,142825077,177582,0.887375972790035,False,1506,1399,1059,666,393,235,0,0,0,False,10,10
NR3C1-D001249,NR3C1,A,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,5,142657496,142815077,157582,142647495,142825077,177582,0.887375972790035,False,1506,1399,1059,412,316,252,0,0,0,False,10,10
P2RY2-D001249,P2RY2,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,11,72929343,72947397,18055,72929342,72947397,18055,1.0,False,108,107,91,58,44,35,0,0,0,False,10,10
P2RY2-D001249,P2RY2,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,11,72929343,72947397,18055,72929342,72947397,18055,1.0,False,108,107,91,55,47,35,0,0,0,False,10,10
P2RY2-D001249,P2RY2,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,11,72929343,72947397,18055,72919342,72957397,38055,0.4744448824070424,False,161,156,137,87,64,49,0,0,0,False,10,10
P2RY2-D001249,P2RY2,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,11,72929343,72947397,18055,72919342,72957397,38055,0.4744448824070424,False,161,156,137,85,70,50,0,0,0,False,10,10
PDE3A-D001249,PDE3A,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,12,20522179,20837315,315137,20522178,20837315,315137,1.0,False,2996,2768,2421,1641,1364,1093,0,0,0,False,10,10
PDE3A-D001249,PDE3A,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,12,20522179,20837315,315137,20522178,20837315,315137,1.0,False,2996,2768,2421,1466,1265,1090,0,0,0,False,10,10
PDE3A-D001249,PDE3A,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,12,20522179,20837315,315137,20512178,20847315,335137,0.940322912719276,False,3111,2873,2521,1723,1428,1137,0,0,0,False,10,10
PDE3A-D001249,PDE3A,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,12,20522179,20837315,315137,20512178,20847315,335137,0.940322912719276,False,3111,2873,2521,1535,1328,1133,0,0,0,False,10,10
PDE4B-D001249,PDE4B,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,1,66258197,66840259,582063,66258196,66840259,582063,1.0,False,5502,5154,4211,2645,2014,1331,0,0,0,False,10,10
PDE4B-D001249,PDE4B,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,1,66258197,66840259,582063,66258196,66840259,582063,1.0,False,5502,5154,4211,2290,1898,1415,0,0,0,False,10,10
PDE4B-D001249,PDE4B,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,1,66258197,66840259,582063,66248196,66850259,602063,0.9667808850568794,False,5690,5325,4358,2739,2094,1393,0,0,0,False,10,10
PDE4B-D001249,PDE4B,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,1,66258197,66840259,582063,66248196,66850259,602063,0.9667808850568794,False,5690,5325,4358,2381,1972,1478,0,0,0,False,10,10
PDE4D-D001249,PDE4D,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,5,58264865,59817947,1553083,58264864,59817947,1553083,1.0,False,15310,14219,11374,6994,5476,3804,0,0,0,False,10,10
PDE4D-D001249,PDE4D,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,5,58264865,59817947,1553083,58264864,59817947,1553083,1.0,False,15310,14219,11374,6021,5028,3866,0,0,0,False,10,10
PDE4D-D001249,PDE4D,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,5,58264865,59817947,1553083,58254864,59827947,1573083,0.9872861126844547,False,15548,14443,11560,7119,5582,3870,0,0,0,False,10,10
PDE4D-D001249,PDE4D,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,5,58264865,59817947,1553083,58254864,59827947,1573083,0.9872861126844547,False,15548,14443,11560,6132,5118,3934,0,0,0,False,10,10
TNFSF15-D001249,TNFSF15,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,9,117546915,117568406,21492,117546914,117568406,21492,1.0,False,128,125,107,61,45,30,0,0,0,False,10,10
TNFSF15-D001249,TNFSF15,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,9,117546915,117568406,21492,117546914,117568406,21492,1.0,False,128,125,107,46,42,28,0,0,0,False,10,10
TNFSF15-D001249,TNFSF15,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,9,117546915,117568406,21492,117536914,117578406,41492,0.5179793695170153,False,266,255,220,127,100,63,0,0,0,False,10,10
TNFSF15-D001249,TNFSF15,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,9,117546915,117568406,21492,117536914,117578406,41492,0.5179793695170153,False,266,255,220,94,85,61,0,0,0,False,10,10
TNFSF4-D001249,TNFSF4,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,1,173152873,173176452,23580,173152872,173176452,23580,1.0,False,176,160,139,94,74,54,0,0,0,False,10,10
TNFSF4-D001249,TNFSF4,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,1,173152873,173176452,23580,173152872,173176452,23580,1.0,False,176,160,139,69,59,54,0,0,0,False,10,10
TNFSF4-D001249,TNFSF4,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,1,173152873,173176452,23580,173142872,173186452,43580,0.5410738871041763,False,350,326,278,188,147,110,0,0,0,False,10,10
TNFSF4-D001249,TNFSF4,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,1,173152873,173176452,23580,173142872,173186452,43580,0.5410738871041763,False,350,326,278,154,124,112,0,0,0,False,10,10
TSLP-D001249,TSLP,A,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,5,110405760,110413722,7963,110405759,110413722,7963,1.0,False,86,84,62,29,18,12,0,5,5,False,10,10
TSLP-D001249,TSLP,A,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,5,110405760,110413722,7963,110405759,110413722,7963,1.0,False,86,84,62,25,18,11,0,5,5,False,10,10
TSLP-D001249,TSLP,A,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,5,110405760,110413722,7963,110395759,110423722,27963,0.2847691592461467,False,306,290,230,133,92,56,0,17,12,True,10,10
TSLP-D001249,TSLP,A,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,5,110405760,110413722,7963,110395759,110423722,27963,0.2847691592461467,False,306,290,230,126,100,58,0,17,12,True,10,10
TYK2-D001249,TYK2,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,19,10461209,10491352,30144,10461208,10491352,30144,1.0,False,367,347,280,164,111,78,0,0,0,False,10,10
TYK2-D001249,TYK2,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,19,10461209,10491352,30144,10461208,10491352,30144,1.0,False,367,347,280,129,95,79,0,0,0,False,10,10
TYK2-D001249,TYK2,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,19,10461209,10491352,30144,10451208,10501352,50144,0.601148691767709,False,600,557,444,268,175,127,0,0,0,False,10,10
TYK2-D001249,TYK2,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,19,10461209,10491352,30144,10451208,10501352,50144,0.601148691767709,False,600,557,444,225,155,128,0,0,0,False,10,10
ABCC8-D003924,ABCC8,A,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body,11,17414432,17498449,84018,17414431,17498449,84018,1.0,False,896,852,739,501,446,284,0,4,4,False,10,10
ABCC8-D003924,ABCC8,A,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body_plus_10kb,11,17414432,17498449,84018,17404431,17508449,104018,0.8077255859562767,False,1152,1094,940,649,583,395,0,13,12,True,10,10
CALCR-D003924,CALCR,B,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body,7,93053799,93204042,150244,93053798,93204042,150244,1.0,False,1400,1289,1006,709,570,374,0,0,0,False,10,10
CALCR-D003924,CALCR,B,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body_plus_10kb,7,93053799,93204042,150244,93043798,93214042,170244,0.8825215572942365,False,1581,1457,1137,802,644,429,0,0,0,False,10,10
DGAT1-D003924,DGAT1,B,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body,8,145539954,145550573,10620,145539953,145550573,10620,1.0,False,49,49,45,33,28,16,0,5,0,False,10,10
DGAT1-D003924,DGAT1,B,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body_plus_10kb,8,145539954,145550573,10620,145529953,145560573,30620,0.34683213585891576,False,115,114,99,70,62,35,0,6,0,False,10,10
FBP1-D003924,FBP1,B,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body,9,97365415,97402531,37117,97365414,97402531,37117,1.0,False,443,415,336,229,185,127,0,0,0,False,10,10
FBP1-D003924,FBP1,B,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body_plus_10kb,9,97365415,97402531,37117,97355414,97412531,57117,0.6498415533028695,False,725,676,556,371,309,217,0,0,0,False,10,10
FGFR1-D003924,FGFR1,B,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body,8,38268656,38326352,57697,38268655,38326352,57697,1.0,False,475,448,359,163,135,71,0,0,0,False,10,10
FGFR1-D003924,FGFR1,B,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body_plus_10kb,8,38268656,38326352,57697,38258655,38336352,77697,0.7425898039821357,False,663,617,497,252,207,112,0,0,0,False,10,10
FGFR4-D003924,FGFR4,B,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body,5,176513887,176525145,11259,176513886,176525145,11259,1.0,False,110,103,92,52,48,27,0,0,0,False,10,10
FGFR4-D003924,FGFR4,B,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body_plus_10kb,5,176513887,176525145,11259,176503886,176535145,31259,0.3601842669311238,False,350,326,279,183,171,122,0,0,0,False,10,10
GCK-D003924,GCK,A,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body,7,44183872,44237769,53898,44183871,44237769,53898,1.0,False,545,518,450,272,231,152,0,0,0,False,10,10
GCK-D003924,GCK,A,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body_plus_10kb,7,44183872,44237769,53898,44173871,44247769,73898,0.7293566808303337,False,733,693,595,359,312,210,0,0,0,False,10,10
GIPR-D003924,GIPR,A,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body,19,46171502,46186982,15481,46171501,46186982,15481,1.0,False,174,159,112,63,44,28,0,8,0,False,10,10
GIPR-D003924,GIPR,A,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body_plus_10kb,19,46171502,46186982,15481,46161501,46196982,35481,0.43631802936783065,False,463,423,311,200,152,110,0,21,6,False,10,10
GLP1R-D003924,GLP1R,A,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body,6,39016574,39055519,38946,39016573,39055519,38946,1.0,False,553,529,434,290,245,179,0,0,0,False,10,10
GLP1R-D003924,GLP1R,A,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body_plus_10kb,6,39016574,39055519,38946,39006573,39065519,58946,0.6607064092559292,False,796,757,606,365,307,213,0,0,0,False,10,10
GLP2R-D003924,GLP2R,B,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body,17,9725523,9795419,69897,9725522,9795419,69897,1.0,False,661,612,554,457,394,276,0,0,0,False,10,10
GLP2R-D003924,GLP2R,B,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body_plus_10kb,17,9725523,9795419,69897,9715522,9805419,89897,0.7775231654004027,False,859,794,722,613,543,408,0,0,0,False,10,10
INS-D003924,INS,A,D003924,"Diabetes Mellitus, Type 2",phecode|250.2|both_sexes||,CSA,gene_body,11,2181009,2182571,1563,2181008,2182571,1563,1.0,False,20,19,16,11,7,5,0,0,0,False,10,10
