gene,chrom,chrom_ucsc,start_1based,end_1based,start_0based,strand,gene_ids,gene_types,n_gene_records_collapsed,gencode_release,genome_build,n_canonical_chromosomes,multichromosome_symbol,coordinate_gene_symbol,coordinate_match_method,coordinate_status,window_bp,window_start_1based,window_end_1based,window_start_0based,required_for_source,source_requiring_build
MPL,1,chr1,43803478,43818443,43803477,+,ENSG00000117400.10,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,MPL,exact_gene_name,MATCHED,100000,43703478,43918443,43703477,True,Pan-UKB
MTTP,4,chr4,100484918,100545156,100484917,+,ENSG00000138823.8,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,MTTP,exact_gene_name,MATCHED,100000,100384918,100645156,100384917,True,Pan-UKB
NFE2L2,2,chr2,178092323,178257425,178092322,-,ENSG00000116044.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,NFE2L2,exact_gene_name,MATCHED,100000,177992323,178357425,177992322,True,Pan-UKB
NFKB1,4,chr4,103422486,103538459,103422485,+,ENSG00000109320.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,NFKB1,exact_gene_name,MATCHED,100000,103322486,103638459,103322485,True,Pan-UKB
NOS3,7,chr7,150688083,150711676,150688082,+,ENSG00000164867.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,NOS3,exact_gene_name,MATCHED,100000,150588083,150811676,150588082,False,Pan-UKB
NOX4,11,chr11,89057524,89322779,89057523,-,ENSG00000086991.8,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,NOX4,exact_gene_name,MATCHED,100000,88957524,89422779,88957523,True,Pan-UKB
NPC1L1,7,chr7,44552134,44580914,44552133,-,ENSG00000015520.10,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,NPC1L1,exact_gene_name,MATCHED,100000,44452134,44680914,44452133,True,Pan-UKB
NPR1,1,chr1,153651113,153666468,153651112,+,ENSG00000169418.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,NPR1,exact_gene_name,MATCHED,100000,153551113,153766468,153551112,True,Pan-UKB
NPY,7,chr7,24323782,24331484,24323781,+,ENSG00000122585.3,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,NPY,exact_gene_name,MATCHED,100000,24223782,24431484,24223781,True,Pan-UKB
NPY5R,4,chr4,164265091,164273086,164265090,+,ENSG00000164129.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,NPY5R,exact_gene_name,MATCHED,100000,164165091,164373086,164165090,True,Pan-UKB
NR1H3,11,chr11,47269851,47290396,47269850,+,ENSG00000025434.14,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,NR1H3,exact_gene_name,MATCHED,100000,47169851,47390396,47169850,True,Pan-UKB
NR1H4,12,chr12,100867486,100958191,100867485,+,ENSG00000012504.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,NR1H4,exact_gene_name,MATCHED,100000,100767486,101058191,100767485,True,Pan-UKB
NR3C1,5,chr5,142657496,142815077,142657495,-,ENSG00000113580.10,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,NR3C1,exact_gene_name,MATCHED,100000,142557496,142915077,142557495,True,Pan-UKB
OPRL1,20,chr20,62711526,62731996,62711525,+,ENSG00000125510.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,OPRL1,exact_gene_name,MATCHED,100000,62611526,62831996,62611525,True,Pan-UKB
OPRM1,6,chr6,154331631,154568001,154331630,+,ENSG00000112038.13,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,OPRM1,exact_gene_name,MATCHED,100000,154231631,154668001,154231630,True,Pan-UKB
P2RY2,11,chr11,72929343,72947397,72929342,+,ENSG00000175591.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,P2RY2,exact_gene_name,MATCHED,100000,72829343,73047397,72829342,True,Pan-UKB
PCSK9,1,chr1,55505221,55530525,55505220,+,ENSG00000169174.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PCSK9,exact_gene_name,MATCHED,100000,55405221,55630525,55405220,True,Pan-UKB
PDE3A,12,chr12,20522179,20837315,20522178,+,ENSG00000172572.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PDE3A,exact_gene_name,MATCHED,100000,20422179,20937315,20422178,True,Pan-UKB
PDE4A,19,chr19,10527449,10580305,10527448,+,ENSG00000065989.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PDE4A,exact_gene_name,MATCHED,100000,10427449,10680305,10427448,True,Pan-UKB
PDE4B,1,chr1,66258197,66840259,66258196,+,ENSG00000184588.13,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PDE4B,exact_gene_name,MATCHED,100000,66158197,66940259,66158196,True,Pan-UKB
PDE4C,19,chr19,18318771,18366229,18318770,-,ENSG00000105650.17,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PDE4C,exact_gene_name,MATCHED,100000,18218771,18466229,18218770,True,Pan-UKB
PDE4D,5,chr5,58264865,59817947,58264864,-,ENSG00000113448.12,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PDE4D,exact_gene_name,MATCHED,100000,58164865,59917947,58164864,True,Pan-UKB
PDE5A,4,chr4,120415550,120550146,120415549,-,ENSG00000138735.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PDE5A,exact_gene_name,MATCHED,100000,120315550,120650146,120315549,True,Pan-UKB
PIK3CA,3,chr3,178865902,178957881,178865901,+,ENSG00000121879.3,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PIK3CA,exact_gene_name,MATCHED,100000,178765902,179057881,178765901,True,Pan-UKB
PIK3CB,3,chr3,138372860,138553780,138372859,-,ENSG00000051382.4,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PIK3CB,exact_gene_name,MATCHED,100000,138272860,138653780,138272859,True,Pan-UKB
PIK3CD,1,chr1,9711790,9789172,9711789,+,ENSG00000171608.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PIK3CD,exact_gene_name,MATCHED,100000,9611790,9889172,9611789,True,Pan-UKB
PIK3CG,7,chr7,106505723,106547590,106505722,+,ENSG00000105851.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PIK3CG,exact_gene_name,MATCHED,100000,106405723,106647590,106405722,True,Pan-UKB
PKLR,1,chr1,155259630,155271225,155259629,-,ENSG00000143627.13,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PKLR,exact_gene_name,MATCHED,100000,155159630,155371225,155159629,True,Pan-UKB
PNPLA3,22,chr22,44319619,44360368,44319618,+,ENSG00000100344.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PNPLA3,exact_gene_name,MATCHED,100000,44219619,44460368,44219618,True,Pan-UKB
PPARA,22,chr22,46546424,46639653,46546423,+,ENSG00000186951.12,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PPARA,exact_gene_name,MATCHED,100000,46446424,46739653,46446423,True,Pan-UKB
PPARD,6,chr6,35310335,35395968,35310334,+,ENSG00000112033.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PPARD,exact_gene_name,MATCHED,100000,35210335,35495968,35210334,True,Pan-UKB
PPARG,3,chr3,12328867,12475855,12328866,+,ENSG00000132170.15,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PPARG,exact_gene_name,MATCHED,100000,12228867,12575855,12228866,True,Pan-UKB
RARG,12,chr12,53604354,53626764,53604353,-,ENSG00000172819.12,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,RARG,exact_gene_name,MATCHED,100000,53504354,53726764,53504353,True,Pan-UKB
REN,1,chr1,204123944,204135465,204123943,-,ENSG00000143839.12,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,REN,exact_gene_name,MATCHED,100000,204023944,204235465,204023943,True,Pan-UKB
SELE,1,chr1,169691781,169733846,169691780,-,ENSG00000007908.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SELE,exact_gene_name,MATCHED,100000,169591781,169833846,169591780,True,Pan-UKB
SERPINA1,14,chr14,94843084,94857030,94843083,-,ENSG00000197249.8,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SERPINA1,exact_gene_name,MATCHED,100000,94743084,94957030,94743083,True,Pan-UKB
SLC10A2,13,chr13,103696350,103719196,103696349,-,ENSG00000125255.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SLC10A2,exact_gene_name,MATCHED,100000,103596350,103819196,103596349,True,Pan-UKB
SLC12A2,5,chr5,127419458,127525380,127419457,+,ENSG00000064651.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SLC12A2,exact_gene_name,MATCHED,100000,127319458,127625380,127319457,True,Pan-UKB
SLC22A12,11,chr11,64358113,64369820,64358112,+,ENSG00000197891.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SLC22A12,exact_gene_name,MATCHED,100000,64258113,64469820,64258112,False,Pan-UKB
SLC40A1,2,chr2,190425305,190448484,190425304,-,ENSG00000138449.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SLC40A1,exact_gene_name,MATCHED,100000,190325305,190548484,190325304,True,Pan-UKB
SLC5A1,22,chr22,32439019,32509016,32439018,+,ENSG00000100170.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SLC5A1,exact_gene_name,MATCHED,100000,32339019,32609016,32339018,True,Pan-UKB
SLC6A4,17,chr17,28521337,28563020,28521336,-,ENSG00000108576.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SLC6A4,exact_gene_name,MATCHED,100000,28421337,28663020,28421336,True,Pan-UKB
SOST,17,chr17,41831099,41836156,41831098,-,ENSG00000167941.2,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SOST,exact_gene_name,MATCHED,100000,41731099,41936156,41731098,True,Pan-UKB
SREBF1,17,chr17,17713713,17740325,17713712,-,ENSG00000072310.12,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SREBF1,exact_gene_name,MATCHED,100000,17613713,17840325,17613712,True,Pan-UKB
SREBF2,22,chr22,42229109,42303312,42229108,+,ENSG00000198911.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SREBF2,exact_gene_name,MATCHED,100000,42129109,42403312,42129108,True,Pan-UKB
TGFB1,19,chr19,41807492,41859816,41807491,-,ENSG00000105329.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,TGFB1,exact_gene_name,MATCHED,100000,41707492,41959816,41707491,True,Pan-UKB
THPO,3,chr3,184089723,184095932,184089722,-,ENSG00000090534.13,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,THPO,exact_gene_name,MATCHED,100000,183989723,184195932,183989722,True,Pan-UKB
THRB,3,chr3,24158651,24536773,24158650,-,ENSG00000151090.13,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,THRB,exact_gene_name,MATCHED,100000,24058651,24636773,24058650,True,Pan-UKB
TNFRSF1A,12,chr12,6437923,6451280,6437922,-,ENSG00000067182.3,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,TNFRSF1A,exact_gene_name,MATCHED,100000,6337923,6551280,6337922,True,Pan-UKB
TNFSF13,17,chr17,7461609,7464925,7461608,+,ENSG00000161955.12,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,TNFSF13,exact_gene_name,MATCHED,100000,7361609,7564925,7361608,True,Pan-UKB
TNFSF15,9,chr9,117546915,117568406,117546914,-,ENSG00000181634.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,TNFSF15,exact_gene_name,MATCHED,100000,117446915,117668406,117446914,True,Pan-UKB
TNFSF4,1,chr1,173152873,173176452,173152872,-,ENSG00000117586.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,TNFSF4,exact_gene_name,MATCHED,100000,173052873,173276452,173052872,True,Pan-UKB
TP53,17,chr17,7565097,7590856,7565096,-,ENSG00000141510.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,TP53,exact_gene_name,MATCHED,100000,7465097,7690856,7465096,True,Pan-UKB
TSLP,5,chr5,110405760,110413722,110405759,+,ENSG00000145777.10,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,TSLP,exact_gene_name,MATCHED,100000,110305760,110513722,110305759,True,Pan-UKB
TYK2,19,chr19,10461209,10491352,10461208,-,ENSG00000105397.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,TYK2,exact_gene_name,MATCHED,100000,10361209,10591352,10361208,True,Pan-UKB
VDR,12,chr12,48235320,48336831,48235319,-,ENSG00000111424.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,VDR,exact_gene_name,MATCHED,100000,48135320,48436831,48135319,True,Pan-UKB
VEGFA,6,chr6,43737921,43754224,43737920,+,ENSG00000112715.16,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,VEGFA,exact_gene_name,MATCHED,100000,43637921,43854224,43637920,True,Pan-UKB
VWF,12,chr12,6058040,6233936,6058039,-,ENSG00000110799.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,VWF,exact_gene_name,MATCHED,100000,5958040,6333936,5958039,False,Pan-UKB
ABCA1,9,chr9,104781006,104928155,104781005,-,ENSG00000165029.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ABCA1,exact_gene_name,MATCHED,100000,104681006,105028155,104681005,False,GBMI
ABCC8,11,chr11,17392498,17476894,17392497,-,ENSG00000006071.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ABCC8,exact_gene_name,MATCHED,100000,17292498,17576894,17292497,False,GBMI
ACE,17,chr17,63477061,63498380,63477060,+,ENSG00000159640.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ACE,exact_gene_name,MATCHED,100000,63377061,63598380,63377060,False,GBMI
ACVR2A,2,chr2,147844517,147930826,147844516,+,ENSG00000121989.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ACVR2A,exact_gene_name,MATCHED,100000,147744517,148030826,147744516,False,GBMI
ACVRL1,12,chr12,51906908,51923361,51906907,+,ENSG00000139567.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ACVRL1,exact_gene_name,MATCHED,100000,51806908,52023361,51806907,False,GBMI
ADAMTS4,1,chr1,161184302,161199054,161184301,-,ENSG00000158859.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ADAMTS4,exact_gene_name,MATCHED,100000,161084302,161299054,161084301,False,GBMI
ADIPOR2,12,chr12,1688574,1788674,1688573,+,ENSG00000006831.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ADIPOR2,exact_gene_name,MATCHED,100000,1588574,1888674,1588573,False,GBMI
ADORA1,1,chr1,203090654,203167405,203090653,+,ENSG00000163485.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ADORA1,exact_gene_name,MATCHED,100000,202990654,203267405,202990653,True,GBMI
ADORA2B,17,chr17,15945130,15975746,15945129,+,ENSG00000170425.4,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ADORA2B,exact_gene_name,MATCHED,100000,15845130,16075746,15845129,True,GBMI
ADRA1A,8,chr8,26748150,26867278,26748149,-,ENSG00000120907.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ADRA1A,exact_gene_name,MATCHED,100000,26648150,26967278,26648149,False,GBMI
ADRA2B,2,chr2,96112876,96116571,96112875,-,ENSG00000274286.2,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ADRA2B,exact_gene_name,MATCHED,100000,96012876,96216571,96012875,False,GBMI
ADRA2C,4,chr4,3766348,3768526,3766347,+,ENSG00000184160.8,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ADRA2C,exact_gene_name,MATCHED,100000,3666348,3868526,3666347,False,GBMI
ADRB1,10,chr10,114043866,114046904,114043865,+,ENSG00000043591.6,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ADRB1,exact_gene_name,MATCHED,100000,113943866,114146904,113943865,False,GBMI
ADRB2,5,chr5,148826611,148828623,148826610,+,ENSG00000169252.6,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ADRB2,exact_gene_name,MATCHED,100000,148726611,148928623,148726610,True,GBMI
AGT,1,chr1,230690776,230745576,230690775,-,ENSG00000135744.9,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,AGT,exact_gene_name,MATCHED,100000,230590776,230845576,230590775,False,GBMI
ALDH2,12,chr12,111766887,111817532,111766886,+,ENSG00000111275.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ALDH2,exact_gene_name,MATCHED,100000,111666887,111917532,111666886,False,GBMI
ALOX12,17,chr17,6996049,7010754,6996048,+,ENSG00000108839.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ALOX12,exact_gene_name,MATCHED,100000,6896049,7110754,6896048,False,GBMI
ALOX5,10,chr10,45374176,45446119,45374175,+,ENSG00000012779.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ALOX5,exact_gene_name,MATCHED,100000,45274176,45546119,45274175,False,GBMI
ANGPTL3,1,chr1,62597520,62606313,62597519,+,ENSG00000132855.5,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ANGPTL3,exact_gene_name,MATCHED,100000,62497520,62706313,62497519,False,GBMI
ANGPTL4,19,chr19,8363289,8374370,8363288,+,ENSG00000167772.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ANGPTL4,exact_gene_name,MATCHED,100000,8263289,8474370,8263288,False,GBMI
ANGPTL8,19,chr19,11237450,11241943,11237449,+,ENSG00000130173.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ANGPTL8,exact_gene_name,MATCHED,100000,11137450,11341943,11137449,False,GBMI
APOA1,11,chr11,116835751,116837622,116835750,-,ENSG00000118137.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,APOA1,exact_gene_name,MATCHED,100000,116735751,116937622,116735750,False,GBMI
APOB,2,chr2,21001429,21044073,21001428,-,ENSG00000084674.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,APOB,exact_gene_name,MATCHED,100000,20901429,21144073,20901428,False,GBMI
APOC3,11,chr11,116829706,116833072,116829705,+,ENSG00000110245.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,APOC3,exact_gene_name,MATCHED,100000,116729706,116933072,116729705,False,GBMI
APOE,19,chr19,44905791,44909393,44905790,+,ENSG00000130203.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,APOE,exact_gene_name,MATCHED,100000,44805791,45009393,44805790,False,GBMI
APOL1,22,chr22,36253071,36267530,36253070,+,ENSG00000100342.21,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,APOL1,exact_gene_name,MATCHED,100000,36153071,36367530,36153070,False,GBMI
AXL,19,chr19,41219223,41261766,41219222,+,ENSG00000167601.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,AXL,exact_gene_name,MATCHED,100000,41119223,41361766,41119222,False,GBMI
BCL11A,2,chr2,60450520,60554467,60450519,-,ENSG00000119866.22,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,BCL11A,exact_gene_name,MATCHED,100000,60350520,60654467,60350519,False,GBMI
BCL2,18,chr18,63123346,63320128,63123345,-,ENSG00000171791.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,BCL2,exact_gene_name,MATCHED,100000,63023346,63420128,63023345,False,GBMI
CACNA1C,12,chr12,1970772,2697950,1970771,+,ENSG00000151067.23,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CACNA1C,exact_gene_name,MATCHED,100000,1870772,2797950,1870771,False,GBMI
CALCA,11,chr11,14966668,14972351,14966667,-,ENSG00000110680.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CALCA,exact_gene_name,MATCHED,100000,14866668,15072351,14866667,False,GBMI
CALCR,7,chr7,93424486,93574730,93424485,-,ENSG00000004948.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CALCR,exact_gene_name,MATCHED,100000,93324486,93674730,93324485,False,GBMI
CASR,3,chr3,122183668,122291629,122183667,+,ENSG00000036828.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CASR,exact_gene_name,MATCHED,100000,122083668,122391629,122083667,False,GBMI
CCR4,3,chr3,32951644,32956349,32951643,+,ENSG00000183813.7,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CCR4,exact_gene_name,MATCHED,100000,32851644,33056349,32851643,False,GBMI
CD200R1,3,chr3,112921205,112975103,112921204,-,ENSG00000163606.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CD200R1,exact_gene_name,MATCHED,100000,112821205,113075103,112821204,False,GBMI
CETP,16,chr16,56961923,56983845,56961922,+,ENSG00000087237.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CETP,exact_gene_name,MATCHED,100000,56861923,57083845,56861922,False,GBMI
CHRM3,1,chr1,239386565,239915452,239386564,+,ENSG00000133019.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CHRM3,exact_gene_name,MATCHED,100000,239286565,240015452,239286564,True,GBMI
CHRNB4,15,chr15,78624111,78727754,78624110,-,ENSG00000117971.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CHRNB4,exact_gene_name,MATCHED,100000,78524111,78827754,78524110,False,GBMI
CSF2,5,chr5,132073789,132076170,132073788,+,ENSG00000164400.6,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CSF2,exact_gene_name,MATCHED,100000,131973789,132176170,131973788,True,GBMI
CSF3,17,chr17,40015361,40017813,40015360,+,ENSG00000108342.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CSF3,exact_gene_name,MATCHED,100000,39915361,40117813,39915360,False,GBMI
CSF3R,1,chr1,36466043,36483278,36466042,-,ENSG00000119535.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CSF3R,exact_gene_name,MATCHED,100000,36366043,36583278,36366042,False,GBMI
CXCR4,2,chr2,136114349,136118149,136114348,-,ENSG00000121966.7,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CXCR4,exact_gene_name,MATCHED,100000,136014349,136218149,136014348,False,GBMI
CYP11B1,8,chr8,142872356,142879846,142872355,-,ENSG00000160882.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CYP11B1,exact_gene_name,MATCHED,100000,142772356,142979846,142772355,False,GBMI
CYP11B2,8,chr8,142910559,142917843,142910558,-,ENSG00000179142.2,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CYP11B2,exact_gene_name,MATCHED,100000,142810559,143017843,142810558,False,GBMI
DGAT1,8,chr8,144314584,144326910,144314583,-,ENSG00000185000.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,DGAT1,exact_gene_name,MATCHED,100000,144214584,144426910,144214583,False,GBMI
DGAT2,11,chr11,75759512,75801535,75759511,+,ENSG00000062282.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,DGAT2,exact_gene_name,MATCHED,100000,75659512,75901535,75659511,False,GBMI
DPP4,2,chr2,161992245,162074394,161992244,-,ENSG00000197635.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,DPP4,exact_gene_name,MATCHED,100000,161892245,162174394,161892244,False,GBMI
DYRK3,1,chr1,206635536,206684419,206635535,+,ENSG00000143479.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,DYRK3,exact_gene_name,MATCHED,100000,206535536,206784419,206535535,False,GBMI
EDNRA,4,chr4,147480917,147544954,147480916,+,ENSG00000151617.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,EDNRA,exact_gene_name,MATCHED,100000,147380917,147644954,147380916,False,GBMI
EGLN1,1,chr1,231363751,231422287,231363750,-,ENSG00000135766.9,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,EGLN1,exact_gene_name,MATCHED,100000,231263751,231522287,231263750,False,GBMI
EGLN2,19,chr19,40798996,40808434,40798995,+,ENSG00000269858.6,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,EGLN2,exact_gene_name,MATCHED,100000,40698996,40908434,40698995,False,GBMI
EGLN3,14,chr14,33924227,34462774,33924226,-,ENSG00000129521.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,EGLN3,exact_gene_name,MATCHED,100000,33824227,34562774,33824226,False,GBMI
ENPEP,4,chr4,110365733,110565285,110365732,+,ENSG00000138792.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ENPEP,exact_gene_name,MATCHED,100000,110265733,110665285,110265732,True,GBMI
ENPP1,6,chr6,131808016,131895155,131808015,+,ENSG00000197594.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ENPP1,exact_gene_name,MATCHED,100000,131708016,131995155,131708015,False,GBMI
EPHX2,8,chr8,27490781,27545564,27490780,+,ENSG00000120915.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,EPHX2,exact_gene_name,MATCHED,100000,27390781,27645564,27390780,True,GBMI
EPOR,19,chr19,11377207,11384342,11377206,-,ENSG00000187266.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,EPOR,exact_gene_name,MATCHED,100000,11277207,11484342,11277206,False,GBMI
ESR1,6,chr6,151656691,152129619,151656690,+,ENSG00000091831.24,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ESR1,exact_gene_name,MATCHED,100000,151556691,152229619,151556690,False,GBMI
F10,13,chr13,113122799,113149529,113122798,+,ENSG00000126218.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,F10,exact_gene_name,MATCHED,100000,113022799,113249529,113022798,True,GBMI
F11,4,chr4,186266189,186289681,186266188,+,ENSG00000088926.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,F11,exact_gene_name,MATCHED,100000,186166189,186389681,186166188,True,GBMI
F2,11,chr11,46719196,46739506,46719195,+,ENSG00000180210.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,F2,exact_gene_name,MATCHED,100000,46619196,46839506,46619195,True,GBMI
FAP,2,chr2,162170684,162245151,162170683,-,ENSG00000078098.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,FAP,exact_gene_name,MATCHED,100000,162070684,162345151,162070683,False,GBMI
FBP1,9,chr9,94603133,94640249,94603132,-,ENSG00000165140.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,FBP1,exact_gene_name,MATCHED,100000,94503133,94740249,94503132,False,GBMI
FCGRT,19,chr19,49506816,49526428,49506815,+,ENSG00000104870.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,FCGRT,exact_gene_name,MATCHED,100000,49406816,49626428,49406815,False,GBMI
FDFT1,8,chr8,11795573,11839304,11795572,+,ENSG00000079459.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,FDFT1,exact_gene_name,MATCHED,100000,11695573,11939304,11695572,False,GBMI
FGF21,19,chr19,48755524,48758333,48755523,+,ENSG00000105550.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,FGF21,exact_gene_name,MATCHED,100000,48655524,48858333,48655523,False,GBMI
FGFR1,8,chr8,38400215,38468834,38400214,-,ENSG00000077782.22,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,FGFR1,exact_gene_name,MATCHED,100000,38300215,38568834,38300214,False,GBMI
FGFR3,4,chr4,1793293,1808872,1793292,+,ENSG00000068078.20,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,FGFR3,exact_gene_name,MATCHED,100000,1693293,1908872,1693292,True,GBMI
FGFR4,5,chr5,177086905,177098144,177086904,+,ENSG00000160867.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,FGFR4,exact_gene_name,MATCHED,100000,176986905,177198144,176986904,False,GBMI
FLT3,13,chr13,28003274,28100592,28003273,-,ENSG00000122025.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,FLT3,exact_gene_name,MATCHED,100000,27903274,28200592,27903273,False,GBMI
