gene,chrom,chrom_ucsc,start_1based,end_1based,start_0based,strand,gene_ids,gene_types,n_gene_records_collapsed,gencode_release,genome_build,n_canonical_chromosomes,multichromosome_symbol,coordinate_gene_symbol,coordinate_match_method,coordinate_status,window_bp,window_start_1based,window_end_1based,window_start_0based
OPRL1,20,chr20,62711526,62731996,62711525,+,ENSG00000125510.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,OPRL1,exact_gene_name,MATCHED,100000,62611526,62831996,62611525
OPRM1,6,chr6,154331631,154568001,154331630,+,ENSG00000112038.13,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,OPRM1,exact_gene_name,MATCHED,100000,154231631,154668001,154231630
P2RY2,11,chr11,72929343,72947397,72929342,+,ENSG00000175591.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,P2RY2,exact_gene_name,MATCHED,100000,72829343,73047397,72829342
PCSK9,1,chr1,55505221,55530525,55505220,+,ENSG00000169174.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PCSK9,exact_gene_name,MATCHED,100000,55405221,55630525,55405220
PDE3A,12,chr12,20522179,20837315,20522178,+,ENSG00000172572.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PDE3A,exact_gene_name,MATCHED,100000,20422179,20937315,20422178
PDE4A,19,chr19,10527449,10580305,10527448,+,ENSG00000065989.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PDE4A,exact_gene_name,MATCHED,100000,10427449,10680305,10427448
PDE4B,1,chr1,66258197,66840259,66258196,+,ENSG00000184588.13,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PDE4B,exact_gene_name,MATCHED,100000,66158197,66940259,66158196
PDE4C,19,chr19,18318771,18366229,18318770,-,ENSG00000105650.17,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PDE4C,exact_gene_name,MATCHED,100000,18218771,18466229,18218770
PDE4D,5,chr5,58264865,59817947,58264864,-,ENSG00000113448.12,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PDE4D,exact_gene_name,MATCHED,100000,58164865,59917947,58164864
PDE5A,4,chr4,120415550,120550146,120415549,-,ENSG00000138735.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PDE5A,exact_gene_name,MATCHED,100000,120315550,120650146,120315549
PIK3CA,3,chr3,178865902,178957881,178865901,+,ENSG00000121879.3,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PIK3CA,exact_gene_name,MATCHED,100000,178765902,179057881,178765901
PIK3CB,3,chr3,138372860,138553780,138372859,-,ENSG00000051382.4,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PIK3CB,exact_gene_name,MATCHED,100000,138272860,138653780,138272859
PIK3CD,1,chr1,9711790,9789172,9711789,+,ENSG00000171608.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PIK3CD,exact_gene_name,MATCHED,100000,9611790,9889172,9611789
PIK3CG,7,chr7,106505723,106547590,106505722,+,ENSG00000105851.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PIK3CG,exact_gene_name,MATCHED,100000,106405723,106647590,106405722
PKLR,1,chr1,155259630,155271225,155259629,-,ENSG00000143627.13,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PKLR,exact_gene_name,MATCHED,100000,155159630,155371225,155159629
PNPLA3,22,chr22,44319619,44360368,44319618,+,ENSG00000100344.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PNPLA3,exact_gene_name,MATCHED,100000,44219619,44460368,44219618
PPARA,22,chr22,46546424,46639653,46546423,+,ENSG00000186951.12,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PPARA,exact_gene_name,MATCHED,100000,46446424,46739653,46446423
PPARD,6,chr6,35310335,35395968,35310334,+,ENSG00000112033.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PPARD,exact_gene_name,MATCHED,100000,35210335,35495968,35210334
PPARG,3,chr3,12328867,12475855,12328866,+,ENSG00000132170.15,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,PPARG,exact_gene_name,MATCHED,100000,12228867,12575855,12228866
RARG,12,chr12,53604354,53626764,53604353,-,ENSG00000172819.12,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,RARG,exact_gene_name,MATCHED,100000,53504354,53726764,53504353
REN,1,chr1,204123944,204135465,204123943,-,ENSG00000143839.12,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,REN,exact_gene_name,MATCHED,100000,204023944,204235465,204023943
SELE,1,chr1,169691781,169733846,169691780,-,ENSG00000007908.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SELE,exact_gene_name,MATCHED,100000,169591781,169833846,169591780
SERPINA1,14,chr14,94843084,94857030,94843083,-,ENSG00000197249.8,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SERPINA1,exact_gene_name,MATCHED,100000,94743084,94957030,94743083
SLC10A2,13,chr13,103696350,103719196,103696349,-,ENSG00000125255.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SLC10A2,exact_gene_name,MATCHED,100000,103596350,103819196,103596349
SLC12A2,5,chr5,127419458,127525380,127419457,+,ENSG00000064651.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SLC12A2,exact_gene_name,MATCHED,100000,127319458,127625380,127319457
SLC22A12,11,chr11,64358113,64369820,64358112,+,ENSG00000197891.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SLC22A12,exact_gene_name,MATCHED,100000,64258113,64469820,64258112
SLC40A1,2,chr2,190425305,190448484,190425304,-,ENSG00000138449.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SLC40A1,exact_gene_name,MATCHED,100000,190325305,190548484,190325304
SLC5A1,22,chr22,32439019,32509016,32439018,+,ENSG00000100170.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SLC5A1,exact_gene_name,MATCHED,100000,32339019,32609016,32339018
SLC6A4,17,chr17,28521337,28563020,28521336,-,ENSG00000108576.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SLC6A4,exact_gene_name,MATCHED,100000,28421337,28663020,28421336
SOST,17,chr17,41831099,41836156,41831098,-,ENSG00000167941.2,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SOST,exact_gene_name,MATCHED,100000,41731099,41936156,41731098
SREBF1,17,chr17,17713713,17740325,17713712,-,ENSG00000072310.12,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SREBF1,exact_gene_name,MATCHED,100000,17613713,17840325,17613712
SREBF2,22,chr22,42229109,42303312,42229108,+,ENSG00000198911.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,SREBF2,exact_gene_name,MATCHED,100000,42129109,42403312,42129108
TGFB1,19,chr19,41807492,41859816,41807491,-,ENSG00000105329.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,TGFB1,exact_gene_name,MATCHED,100000,41707492,41959816,41707491
THPO,3,chr3,184089723,184095932,184089722,-,ENSG00000090534.13,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,THPO,exact_gene_name,MATCHED,100000,183989723,184195932,183989722
THRB,3,chr3,24158651,24536773,24158650,-,ENSG00000151090.13,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,THRB,exact_gene_name,MATCHED,100000,24058651,24636773,24058650
TNFRSF1A,12,chr12,6437923,6451280,6437922,-,ENSG00000067182.3,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,TNFRSF1A,exact_gene_name,MATCHED,100000,6337923,6551280,6337922
TNFSF13,17,chr17,7461609,7464925,7461608,+,ENSG00000161955.12,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,TNFSF13,exact_gene_name,MATCHED,100000,7361609,7564925,7361608
TNFSF15,9,chr9,117546915,117568406,117546914,-,ENSG00000181634.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,TNFSF15,exact_gene_name,MATCHED,100000,117446915,117668406,117446914
TNFSF4,1,chr1,173152873,173176452,173152872,-,ENSG00000117586.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,TNFSF4,exact_gene_name,MATCHED,100000,173052873,173276452,173052872
TP53,17,chr17,7565097,7590856,7565096,-,ENSG00000141510.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,TP53,exact_gene_name,MATCHED,100000,7465097,7690856,7465096
TSLP,5,chr5,110405760,110413722,110405759,+,ENSG00000145777.10,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,TSLP,exact_gene_name,MATCHED,100000,110305760,110513722,110305759
TYK2,19,chr19,10461209,10491352,10461208,-,ENSG00000105397.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,TYK2,exact_gene_name,MATCHED,100000,10361209,10591352,10361208
VDR,12,chr12,48235320,48336831,48235319,-,ENSG00000111424.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,VDR,exact_gene_name,MATCHED,100000,48135320,48436831,48135319
VEGFA,6,chr6,43737921,43754224,43737920,+,ENSG00000112715.16,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,VEGFA,exact_gene_name,MATCHED,100000,43637921,43854224,43637920
VWF,12,chr12,6058040,6233936,6058039,-,ENSG00000110799.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,VWF,exact_gene_name,MATCHED,100000,5958040,6333936,5958039
