gene,chrom,chrom_ucsc,start_1based,end_1based,start_0based,strand,gene_ids,gene_types,n_gene_records_collapsed,gencode_release,genome_build,n_canonical_chromosomes,multichromosome_symbol,coordinate_gene_symbol,coordinate_match_method,coordinate_status,window_bp,window_start_1based,window_end_1based,window_start_0based
OPRL1,20,chr20,64080082,64100643,64080081,+,ENSG00000125510.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,OPRL1,exact_gene_name,MATCHED,100000,63980082,64200643,63980081
OPRM1,6,chr6,154010496,154246867,154010495,+,ENSG00000112038.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,OPRM1,exact_gene_name,MATCHED,100000,153910496,154346867,153910495
P2RY2,11,chr11,73218281,73242427,73218280,+,ENSG00000175591.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,P2RY2,exact_gene_name,MATCHED,100000,73118281,73342427,73118280
PCSK9,1,chr1,55039447,55064852,55039446,+,ENSG00000169174.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PCSK9,exact_gene_name,MATCHED,100000,54939447,55164852,54939446
PDE3A,12,chr12,20368537,20688583,20368536,+,ENSG00000172572.7,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PDE3A,exact_gene_name,MATCHED,100000,20268537,20788583,20268536
PDE4A,19,chr19,10416773,10469630,10416772,+,ENSG00000065989.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PDE4A,exact_gene_name,MATCHED,100000,10316773,10569630,10316772
PDE4B,1,chr1,65792514,66374579,65792513,+,ENSG00000184588.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PDE4B,exact_gene_name,MATCHED,100000,65692514,66474579,65692513
PDE4C,19,chr19,18208652,18248200,18208651,-,ENSG00000105650.22,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PDE4C,exact_gene_name,MATCHED,100000,18108652,18348200,18108651
PDE4D,5,chr5,58969038,60522120,58969037,-,ENSG00000113448.19,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PDE4D,exact_gene_name,MATCHED,100000,58869038,60622120,58869037
PDE5A,4,chr4,119494397,119628804,119494396,-,ENSG00000138735.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PDE5A,exact_gene_name,MATCHED,100000,119394397,119728804,119394396
PIK3CA,3,chr3,179148114,179240093,179148113,+,ENSG00000121879.6,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PIK3CA,exact_gene_name,MATCHED,100000,179048114,179340093,179048113
PIK3CB,3,chr3,138652698,138834928,138652697,-,ENSG00000051382.9,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PIK3CB,exact_gene_name,MATCHED,100000,138552698,138934928,138552697
PIK3CD,1,chr1,9651731,9729114,9651730,+,ENSG00000171608.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PIK3CD,exact_gene_name,MATCHED,100000,9551731,9829114,9551730
PIK3CG,7,chr7,106865278,106908980,106865277,+,ENSG00000105851.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PIK3CG,exact_gene_name,MATCHED,100000,106765278,107008980,106765277
PKLR,1,chr1,155289293,155301438,155289292,-,ENSG00000143627.19,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PKLR,exact_gene_name,MATCHED,100000,155189293,155401438,155189292
PNPLA3,22,chr22,43923792,43964488,43923791,+,ENSG00000100344.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PNPLA3,exact_gene_name,MATCHED,100000,43823792,44064488,43823791
PPARA,22,chr22,46150521,46243756,46150520,+,ENSG00000186951.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PPARA,exact_gene_name,MATCHED,100000,46050521,46343756,46050520
PPARD,6,chr6,35342558,35428191,35342557,+,ENSG00000112033.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PPARD,exact_gene_name,MATCHED,100000,35242558,35528191,35242557
PPARG,3,chr3,12287368,12434356,12287367,+,ENSG00000132170.24,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,PPARG,exact_gene_name,MATCHED,100000,12187368,12534356,12187367
RARG,12,chr12,53210567,53232980,53210566,-,ENSG00000172819.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,RARG,exact_gene_name,MATCHED,100000,53110567,53332980,53110566
REN,1,chr1,204154819,204190324,204154818,-,ENSG00000143839.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,REN,exact_gene_name,MATCHED,100000,204054819,204290324,204054818
SELE,1,chr1,169722640,169764705,169722639,-,ENSG00000007908.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SELE,exact_gene_name,MATCHED,100000,169622640,169864705,169622639
SERPINA1,14,chr14,94376747,94390693,94376746,-,ENSG00000197249.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SERPINA1,exact_gene_name,MATCHED,100000,94276747,94490693,94276746
SLC10A2,13,chr13,103043998,103066417,103043997,-,ENSG00000125255.7,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SLC10A2,exact_gene_name,MATCHED,100000,102943998,103166417,102943997
SLC12A2,5,chr5,128083766,128189677,128083765,+,ENSG00000064651.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SLC12A2,exact_gene_name,MATCHED,100000,127983766,128289677,127983765
SLC22A12,11,chr11,64590641,64602353,64590640,+,ENSG00000197891.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SLC22A12,exact_gene_name,MATCHED,100000,64490641,64702353,64490640
SLC40A1,2,chr2,189560590,189583758,189560589,-,ENSG00000138449.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SLC40A1,exact_gene_name,MATCHED,100000,189460590,189683758,189460589
SLC5A1,22,chr22,32043261,32113029,32043260,+,ENSG00000100170.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SLC5A1,exact_gene_name,MATCHED,100000,31943261,32213029,31943260
SLC6A4,17,chr17,30194319,30236002,30194318,-,ENSG00000108576.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SLC6A4,exact_gene_name,MATCHED,100000,30094319,30336002,30094318
SOST,17,chr17,43753738,43758791,43753737,-,ENSG00000167941.3,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SOST,exact_gene_name,MATCHED,100000,43653738,43858791,43653737
SREBF1,17,chr17,17810399,17837002,17810398,-,ENSG00000072310.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SREBF1,exact_gene_name,MATCHED,100000,17710399,17937002,17710398
SREBF2,22,chr22,41833079,41907307,41833078,+,ENSG00000198911.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,SREBF2,exact_gene_name,MATCHED,100000,41733079,42007307,41733078
TGFB1,19,chr19,41301587,41353922,41301586,-,ENSG00000105329.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,TGFB1,exact_gene_name,MATCHED,100000,41201587,41453922,41201586
THPO,3,chr3,184371935,184381968,184371934,-,ENSG00000090534.20,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,THPO,exact_gene_name,MATCHED,100000,184271935,184481968,184271934
THRB,3,chr3,24117153,24495756,24117152,-,ENSG00000151090.20,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,THRB,exact_gene_name,MATCHED,100000,24017153,24595756,24017152
TNFRSF1A,12,chr12,6328757,6342114,6328756,-,ENSG00000067182.8,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,TNFRSF1A,exact_gene_name,MATCHED,100000,6228757,6442114,6228756
TNFSF13,17,chr17,7558292,7561608,7558291,+,ENSG00000161955.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,TNFSF13,exact_gene_name,MATCHED,100000,7458292,7661608,7458291
TNFSF15,9,chr9,114784652,114806039,114784651,-,ENSG00000181634.8,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,TNFSF15,exact_gene_name,MATCHED,100000,114684652,114906039,114684651
TNFSF4,1,chr1,173183731,173207331,173183730,-,ENSG00000117586.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,TNFSF4,exact_gene_name,MATCHED,100000,173083731,173307331,173083730
TP53,17,chr17,7661779,7687538,7661778,-,ENSG00000141510.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,TP53,exact_gene_name,MATCHED,100000,7561779,7787538,7561778
TSLP,5,chr5,111070062,111078026,111070061,+,ENSG00000145777.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,TSLP,exact_gene_name,MATCHED,100000,110970062,111178026,110970061
TYK2,19,chr19,10350529,10380572,10350528,-,ENSG00000105397.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,TYK2,exact_gene_name,MATCHED,100000,10250529,10480572,10250528
VDR,12,chr12,47841537,47943048,47841536,-,ENSG00000111424.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,VDR,exact_gene_name,MATCHED,100000,47741537,48043048,47741536
VEGFA,6,chr6,43770184,43786487,43770183,+,ENSG00000112715.25,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,VEGFA,exact_gene_name,MATCHED,100000,43670184,43886487,43670183
VWF,12,chr12,5948877,6124770,5948876,-,ENSG00000110799.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,VWF,exact_gene_name,MATCHED,100000,5848877,6224770,5848876
