STUDY ACCESSION	PUBMEDID	FIRST AUTHOR	DATE	INITIAL SAMPLE DESCRIPTION	REPLICATION SAMPLE DESCRIPTION	STAGE	NUMBER OF INDIVDUALS	BROAD ANCESTRAL CATEGORY	COUNTRY OF ORIGIN	COUNTRY OF RECRUITMENT	ADDITONAL ANCESTRY DESCRIPTION
GCST011087	33115273	Hoekstra M	2020-10-29	293,274 White ancestry individuals	5,465 White ancestry individuals, 6,101 South Asian ancestry individuals, 2,510 Sub-Saharan African ancestry individuals, 3,207 Black Caribbean ancestry individuals	replication	6101	South Asian	NR	U.K.	
GCST011087	33115273	Hoekstra M	2020-10-29	293,274 White ancestry individuals	5,465 White ancestry individuals, 6,101 South Asian ancestry individuals, 2,510 Sub-Saharan African ancestry individuals, 3,207 Black Caribbean ancestry individuals	replication	5465	European	NR	U.S.	
GCST011087	33115273	Hoekstra M	2020-10-29	293,274 White ancestry individuals	5,465 White ancestry individuals, 6,101 South Asian ancestry individuals, 2,510 Sub-Saharan African ancestry individuals, 3,207 Black Caribbean ancestry individuals	replication	2510	Sub-Saharan African	NR	U.K.	
GCST011087	33115273	Hoekstra M	2020-10-29	293,274 White ancestry individuals	5,465 White ancestry individuals, 6,101 South Asian ancestry individuals, 2,510 Sub-Saharan African ancestry individuals, 3,207 Black Caribbean ancestry individuals	replication	3207	African American or Afro-Caribbean	NR	U.K.	
GCST010979	33106546	Johnson TA	2020-10-26	1,276 East Asian ancestry cases, 5,086 East Asian ancestry controls	2,152 East Asian ancestry cases, 2,751 East Asian ancestry controls	replication	4903	East Asian	NR	Japan, Republic of Korea, Taiwan	
GCST010979	33106546	Johnson TA	2020-10-26	1,276 East Asian ancestry cases, 5,086 East Asian ancestry controls	2,152 East Asian ancestry cases, 2,751 East Asian ancestry controls	initial	6362	East Asian	NR	Japan, Republic of Korea, Taiwan	
GCST012080	33453761	Jorgensen CS	2021-01-14	3,882 European ancestry cases, 31,073 European ancestry controls	5,475 European ancestry cases, 303,996 European ancestry controls	initial	34955	European	NR	Denmark	
GCST012080	33453761	Jorgensen CS	2021-01-14	3,882 European ancestry cases, 31,073 European ancestry controls	5,475 European ancestry cases, 303,996 European ancestry controls	replication	309471	European	NR	Iceland	
GCST012095	33483693	Clements CC	2021-01-22	2,725 European ancestry cases, 3,290 European ancestry controls	NA	initial	6015	European	NR	Sweden, NR	
GCST012094	33483693	Clements CC	2021-01-22	1,796 European ancestry cases, 3,290 European ancestry controls	NA	initial	5086	European	NR	Sweden, NR	
GCST007090	30664745	Tachmazidou I	2019-01-21	24,955 European ancestry cases, 378,169 European ancestry controls	NA	initial	403124	European	NR	U.K.	
GCST007091	30664745	Tachmazidou I	2019-01-21	15,704 European ancestry cases, 378,169 European ancestry controls	NA	initial	393873	European	NR	U.K.	
GCST007092	30664745	Tachmazidou I	2019-01-21	39,427 European ancestry cases, 378,169 European ancestry controls	NA	initial	417596	European	NR	U.K.	
GCST007093	30664745	Tachmazidou I	2019-01-21	77,052 European ancestry cases, 378,169 European ancestry controls	NA	initial	455221	European	NR	U.K.	
GCST008109	23263489	Huyghe JR	2012-12-23	up to 8,229 Finnish ancestry non-diabetic individuals	NA	initial	8229	European	NR	Finland	
GCST008110	23263489	Huyghe JR	2012-12-23	up to 8,229 Finnish ancestry non-diabetic individuals	NA	initial	8229	European	NR	Finland	
GCST008111	23263489	Huyghe JR	2012-12-23	up to 8,229 Finnish ancestry non-diabetic individuals	NA	initial	8229	European	NR	Finland	
GCST008113	23263489	Huyghe JR	2012-12-23	up to 8,229 Finnish ancestry non-diabetic individuals	NA	initial	8229	European	NR	Finland	
GCST008112	23263489	Huyghe JR	2012-12-23	up to 8,229 Finnish ancestry non-diabetic individuals	NA	initial	8229	European	NR	Finland	
GCST008388	31196165	Lee E	2019-06-13	136 Hispanic cases, 75 European ancestry cases, 102 African ancestry cases, 45 cases, 265 Hispanic controls, 282 European ancestry controls, 194 African ancestry controls, 45 controls	NA	initial	58	Other	NR	NR	
GCST008388	31196165	Lee E	2019-06-13	136 Hispanic cases, 75 European ancestry cases, 102 African ancestry cases, 45 cases, 265 Hispanic controls, 282 European ancestry controls, 194 African ancestry controls, 45 controls	NA	initial	401	Hispanic or Latin American	NR	NR	
GCST008388	31196165	Lee E	2019-06-13	136 Hispanic cases, 75 European ancestry cases, 102 African ancestry cases, 45 cases, 265 Hispanic controls, 282 European ancestry controls, 194 African ancestry controls, 45 controls	NA	initial	296	African unspecified, African American or Afro-Caribbean	NR	NR	
GCST008388	31196165	Lee E	2019-06-13	136 Hispanic cases, 75 European ancestry cases, 102 African ancestry cases, 45 cases, 265 Hispanic controls, 282 European ancestry controls, 194 African ancestry controls, 45 controls	NA	initial	357	European	NR	NR	
GCST008555	31190057	Dashti HS	2019-06-13	193,860 European ancestry individuals	NA	initial	193860	European	NR	U.K.	
GCST008556	31190057	Dashti HS	2019-06-13	1,359 European ancestry cases, 10,604 European ancestry controls	NA	initial	11963	European	NR	U.K.	
GCST010976	33114509	Park J	2020-10-26	60 Korean ancestry cases, 182 Korean ancestry controls	105 Korean ancestry cases, 217 Korean ancestry controls	initial	242	East Asian	NR	Republic of Korea	
GCST010976	33114509	Park J	2020-10-26	60 Korean ancestry cases, 182 Korean ancestry controls	105 Korean ancestry cases, 217 Korean ancestry controls	replication	322	East Asian	NR	Republic of Korea	
GCST007199	30317457	Bonnemaijer PWM	2018-10-13	484 Sub-Saharan African ancestry cases, 179 South African Coloured ancestry cases, 450 African American cases, 380 Sub-Saharan African ancestry controls, 96 South African Coloured ancestry controls, 1350 African American controls	1,993 Sub-Saharan African ancestry cases, 2,595 African American cases, 1,730 Sub-Saharan African ancestry controls, 2,813 African American controls	initial	1800	African American or Afro-Caribbean	NR	U.S.	African American
GCST007199	30317457	Bonnemaijer PWM	2018-10-13	484 Sub-Saharan African ancestry cases, 179 South African Coloured ancestry cases, 450 African American cases, 380 Sub-Saharan African ancestry controls, 96 South African Coloured ancestry controls, 1350 African American controls	1,993 Sub-Saharan African ancestry cases, 2,595 African American cases, 1,730 Sub-Saharan African ancestry controls, 2,813 African American controls	initial	275	Other admixed ancestry	NR	South Africa	South African Coloured
GCST007199	30317457	Bonnemaijer PWM	2018-10-13	484 Sub-Saharan African ancestry cases, 179 South African Coloured ancestry cases, 450 African American cases, 380 Sub-Saharan African ancestry controls, 96 South African Coloured ancestry controls, 1350 African American controls	1,993 Sub-Saharan African ancestry cases, 2,595 African American cases, 1,730 Sub-Saharan African ancestry controls, 2,813 African American controls	replication	5408	African American or Afro-Caribbean	NR	U.S.	African American
GCST007199	30317457	Bonnemaijer PWM	2018-10-13	484 Sub-Saharan African ancestry cases, 179 South African Coloured ancestry cases, 450 African American cases, 380 Sub-Saharan African ancestry controls, 96 South African Coloured ancestry controls, 1350 African American controls	1,993 Sub-Saharan African ancestry cases, 2,595 African American cases, 1,730 Sub-Saharan African ancestry controls, 2,813 African American controls	replication	3723	Sub-Saharan African	NR	South Africa, Ghana, Nigeria, U.K.	Ghanaian, Nigerian, South African, West African
GCST007199	30317457	Bonnemaijer PWM	2018-10-13	484 Sub-Saharan African ancestry cases, 179 South African Coloured ancestry cases, 450 African American cases, 380 Sub-Saharan African ancestry controls, 96 South African Coloured ancestry controls, 1350 African American controls	1,993 Sub-Saharan African ancestry cases, 2,595 African American cases, 1,730 Sub-Saharan African ancestry controls, 2,813 African American controls	initial	864	Sub-Saharan African	NR	South Africa, United Republic of Tanzania	African Black
GCST007700	30556296	Alblooshi H	2018-12-16	249 Arabian ancestry cases, 253 Arabian ancestry controls	415 European ancestry cases, 105 European ancestry controls	replication	520	European	NR	Australia	
GCST007700	30556296	Alblooshi H	2018-12-16	249 Arabian ancestry cases, 253 Arabian ancestry controls	415 European ancestry cases, 105 European ancestry controls	initial	502	Greater Middle Eastern (Middle Eastern, North African or Persian)	NR	United Arab Emirates	Arabian
GCST007161	25224099	Gueant JL	2014-09-12	387 European ancestry cases, 1,224 European ancestry controls	299 European ancestry cases, 362 European ancestry controls	replication	661	European	NR	Italy	
GCST007161	25224099	Gueant JL	2014-09-12	387 European ancestry cases, 1,224 European ancestry controls	299 European ancestry cases, 362 European ancestry controls	initial	1611	European	NR	Spain	
GCST011963	33114701	Jee D	2020-10-26	377 Korean ancestry cases, 47,820 Korean ancestry controls	NA	initial	48197	East Asian	NR	Republic of Korea	Korean
GCST011463	32918910	Dong J	2020-09-09	6,758 European ancestry male cases, 1,670 European ancestry female cases, 7,489 European ancestry male controls, 6,174 European ancestry female controls	NA	initial	22091	European	NR	U.K., Germany, NR, Australia	
GCST011462	32918910	Dong J	2020-09-09	6,758 European ancestry male cases, 1,670 European ancestry female cases, 7,489 European ancestry male controls, 6,174 European ancestry female controls	NA	initial	22091	European	NR	U.K., Germany, NR, Australia	
GCST011461	32918910	Dong J	2020-09-09	6,758 European ancestry male cases, 1,670 European ancestry female cases, 7,489 European ancestry male controls, 6,174 European ancestry female controls	NA	initial	22091	European	NR	U.K., Germany, NR, Australia	
GCST011122	33128006	Timmins IR	2020-10-30	450,967 European ancestry individuals	NA	initial	450967	European	NR	U.K.	
GCST90000584	33110245	Ruotsalainen SE	2020-10-27	6,890 Finnish ancestry individuals	NA	initial	6890	European	NR	Finland	
GCST011975	33328473	Ahluwalia TS	2020-12-16	2,866 European ancestry cases,  65,415 European ancestry controls	NA	initial	68281	European	NR	Denmark	
GCST011793	33235445	Lee YJ	2020-11-17	38 Korean ancestry cases, 1,778 Korean ancestry controls	NA	initial	1816	East Asian	NR	Republic of Korea	Korean
GCST011794	33235445	Lee YJ	2020-11-17	130 Korean ancestry cases, 3,478 Korean ancestry controls	NA	initial	3608	East Asian	NR	Republic of Korea	Korean
GCST012139	33095540	Sherman BT	2020-10-20	4,675 European ancestry individuals, 1,732 African ancestry individuals, 645 Admixed American individuals	NA	initial	4675	European	NR	NR	
GCST012139	33095540	Sherman BT	2020-10-20	4,675 European ancestry individuals, 1,732 African ancestry individuals, 645 Admixed American individuals	NA	initial	645	Hispanic or Latin American	NR	NR	Admixed American
GCST012139	33095540	Sherman BT	2020-10-20	4,675 European ancestry individuals, 1,732 African ancestry individuals, 645 Admixed American individuals	NA	initial	1732	African unspecified	NR	NR	
GCST012138	33095540	Sherman BT	2020-10-20	4,675 European ancestry individuals, 1,732 African ancestry individuals, 645 Admixed American individuals	NA	initial	4675	European	NR	NR	
GCST012138	33095540	Sherman BT	2020-10-20	4,675 European ancestry individuals, 1,732 African ancestry individuals, 645 Admixed American individuals	NA	initial	645	Hispanic or Latin American	NR	NR	Admixed American
GCST012138	33095540	Sherman BT	2020-10-20	4,675 European ancestry individuals, 1,732 African ancestry individuals, 645 Admixed American individuals	NA	initial	1732	African unspecified	NR	NR	
GCST012140	33095540	Sherman BT	2020-10-20	4,675 European ancestry individuals, 1,732 African ancestry individuals, 645 Admixed American individuals	NA	initial	4675	European	NR	NR	
GCST012140	33095540	Sherman BT	2020-10-20	4,675 European ancestry individuals, 1,732 African ancestry individuals, 645 Admixed American individuals	NA	initial	1732	African unspecified	NR	NR	
GCST012140	33095540	Sherman BT	2020-10-20	4,675 European ancestry individuals, 1,732 African ancestry individuals, 645 Admixed American individuals	NA	initial	645	Hispanic or Latin American	NR	NR	Admixed American
GCST007365	30202041	Otani T	2018-09-10	1,621 treated cases, 1,668 untreated cases	NA	initial	3289	NR	NR	Germany	
GCST007366	30202041	Otani T	2018-09-10	760 European ancestry treated cases, 773 European ancestry untreated cases	NA	initial	1533	European	NR	NR	
GCST007021	30566433	Taira M	2018-12-19	2,809 Japanese ancestry cases, 5,592 Japanese ancestry controls	2,115 Japanese ancestry cases, 2,519 Japanese ancestry controls	initial	8401	East Asian	NR	NR	Japanese
GCST007021	30566433	Taira M	2018-12-19	2,809 Japanese ancestry cases, 5,592 Japanese ancestry controls	2,115 Japanese ancestry cases, 2,519 Japanese ancestry controls	replication	4634	East Asian	NR	Japan	Japanese
GCST007022	30566433	Taira M	2018-12-19	at least 2,809 Japanese ancestry cases, 5,592 Japanese ancestry controls	at least 2,115 Japanese ancestry cases, 2,519 Japanese ancestry controls	replication	4634	East Asian	NR	Japan	Japanese
GCST007022	30566433	Taira M	2018-12-19	at least 2,809 Japanese ancestry cases, 5,592 Japanese ancestry controls	at least 2,115 Japanese ancestry cases, 2,519 Japanese ancestry controls	initial	8401	East Asian	NR	NR	Japanese
GCST007089	30566500	Day F	2018-12-19	10,074 European ancestry cases, 103,164 European ancestry controls	NA	initial	113238	European	NR	NR	
GCST007230	30563176	Westermair AL	2018-12-05	78 European ancestry cases, 264 European ancestry controls	NA	initial	342	European	NR	Germany	
GCST90010720	32884031	Chuang GT	2020-09-03	4,201 Taiwanese ancestry individuals	NA	initial	4201	East Asian	NR	NR	
GCST90010721	32884031	Chuang GT	2020-09-03	4,201 Taiwanese ancestry individuals	NA	initial	4201	East Asian	NR	NR	
GCST011681	33269293	Kannambath S	2020-10-16	319 South African ancestry cases, 399 South African ancestry controls	NA	initial	718	African unspecified	NR	South Africa	South African
GCST011933	33105104	Hoi-Yee Li G	2020-12-01	319 Chinese ancestry cases, 3,516 Chinese ancestry controls	NA	initial	3835	East Asian	NR	China, China, Hong Kong SAR	Chinese
GCST011932	33105104	Hoi-Yee Li G	2020-12-01	306 Chinese ancestry male cases, 3,516 Chinese ancestry controls	NA	initial	3822	East Asian	NR	China, China, Hong Kong SAR	Chinese
GCST012616	33332786	Zhang Y	2020-12-15	4,434 European ancestry cases, 9,416 European ancestry controls	NA	initial	13850	European	NR	NR	
GCST011701	33082346	Xu K	2020-10-20	40,456 European ancestry current smokers, 13,511 African American current smokers, 2,920 Hispanic current smokers, 110,403 European ancestry mixed smokers, 23,605 African American mixed smokers, 11,221 Hispanic mixed smokers	NA	initial	150859	European	NR	U.S.	
GCST011701	33082346	Xu K	2020-10-20	40,456 European ancestry current smokers, 13,511 African American current smokers, 2,920 Hispanic current smokers, 110,403 European ancestry mixed smokers, 23,605 African American mixed smokers, 11,221 Hispanic mixed smokers	NA	initial	37116	African American or Afro-Caribbean	NR	U.S.	African American
GCST011701	33082346	Xu K	2020-10-20	40,456 European ancestry current smokers, 13,511 African American current smokers, 2,920 Hispanic current smokers, 110,403 European ancestry mixed smokers, 23,605 African American mixed smokers, 11,221 Hispanic mixed smokers	NA	initial	14141	Hispanic or Latin American	NR	U.S.	Hispanic
GCST011703	33082346	Xu K	2020-10-20	842,717 European ancestry individuals	NA	initial	842717	European	NR	NR, U.S.	
GCST011702	33082346	Xu K	2020-10-20	450,129 European ancestry individuals	NA	initial	450129	European	NR	NR, U.S.	
GCST011700	33082346	Xu K	2020-10-20	17,014 European ancestry individuals	NA	initial	17014	European	NR	U.S.	
GCST011699	33082346	Xu K	2020-10-20	77,515 European ancestry individuals	NA	initial	77515	European	NR	U.S.	
GCST011704	33082346	Xu K	2020-10-20	40,456 European ancestry current smokers, 13,511 African American current smokers, 2,920 Hispanic current smokers, 59,056 European ancestry mostly never smokers, 17,751 African American mostly never smokers, 7,195 Hispanic mostly never smokers	NA	initial	99512	European	NR	U.S.	
GCST011704	33082346	Xu K	2020-10-20	40,456 European ancestry current smokers, 13,511 African American current smokers, 2,920 Hispanic current smokers, 59,056 European ancestry mostly never smokers, 17,751 African American mostly never smokers, 7,195 Hispanic mostly never smokers	NA	initial	31262	African American or Afro-Caribbean	NR	U.S.	African American
GCST011704	33082346	Xu K	2020-10-20	40,456 European ancestry current smokers, 13,511 African American current smokers, 2,920 Hispanic current smokers, 59,056 European ancestry mostly never smokers, 17,751 African American mostly never smokers, 7,195 Hispanic mostly never smokers	NA	initial	10115	Hispanic or Latin American	NR	U.S.	Hispanic
GCST006936	30326835	Li Z	2018-10-16	301 Chinese ancestry individuals	NA	initial	301	East Asian	NR	China	
GCST005687	29590334	Bjornsson T	2018-03-24	39 Icelandic ancestry cases, 140,661 Icelandic ancestry controls	81 Icelandic ancestry cases, 214,412 Icelandic ancestry controls	initial	140700	European	NR	Iceland	Icelandic
GCST005687	29590334	Bjornsson T	2018-03-24	39 Icelandic ancestry cases, 140,661 Icelandic ancestry controls	81 Icelandic ancestry cases, 214,412 Icelandic ancestry controls	replication	214493	European	NR	Iceland	Icelandic
GCST006666	30289880	Qi G	2018-10-05	188,577 European ancestry individuals	NA	initial	188577	European	NR	NR	
GCST006667	30289880	Qi G	2018-10-05	188,577 European ancestry individuals	NA	initial	188577	European	NR	NR	
GCST006665	30289880	Qi G	2018-10-05	up to 630,791 European ancestry individuals	NA	initial	630791	European	NR	NR	
GCST006668	30289880	Qi G	2018-10-05	4,949 autism cases, 2787 ADHD cases, 6,990 bipolar disorder cases, 9,227 depression cases, 9,379 schizophrenia cases, 27,888 controls	NA	initial	61220	NR	NR	NR	
GCST007637	30694715	Sakornsakolpat P	2019-01-29	2,584 European ancestry individuals with chronic obstructive pulmonary disease, 3,002 European ancestry healthy individuals, 343 African American individuals with chronic obstructive pulmonary disease, 1,006 African American healthy individuals	NA	initial	5586	European	NR	Norway, NR	Non-Hispanic White, White
GCST007637	30694715	Sakornsakolpat P	2019-01-29	2,584 European ancestry individuals with chronic obstructive pulmonary disease, 3,002 European ancestry healthy individuals, 343 African American individuals with chronic obstructive pulmonary disease, 1,006 African American healthy individuals	NA	initial	1349	African American or Afro-Caribbean	NR	U.S.	
GCST007614	30388399	Ligthart S	2018-11-01	up to 92,771 European ancestry males, up to 113,387 European ancestry females	NA	initial	204402	European	NR	U.S., Australia, Austria, France, Germany, Netherlands, Switzerland, China, Denmark, Finland, Iceland, Sweden, U.K., Croatia, Italy, Canada	
GCST007615	30388399	Ligthart S	2018-11-01	148,164 European ancestry individuals	NA	initial	148164	European	NR	U.S., Australia, Austria, France, Germany, Netherlands, Switzerland, Denmark, Estonia, Finland, Iceland, Sweden, U.K., Croatia, Italy	
GCST008270	30999091	Wang Y	2019-04-09	462 Danish ancestry cases, 2,019 Danish ancestry controls	NA	initial	2481	European	NR	Denmark	Danish
GCST008912	31040135	Dahlin AM	2019-04-30	854 European ancestry cases, 3,689 European ancestry controls	NA	initial	4543	European	NR	Sweden, Denmark	
GCST008173	31219225	Young KA	2019-06-20	3,595 Mexican American ancestry individuals	NA	initial	3595	Hispanic or Latin American	NR	U.S.	Mexican American
GCST008175	31219225	Young KA	2019-06-20	1,577 Mexican American ancestry individuals	NA	initial	1577	Hispanic or Latin American	NR	U.S.	Mexican American
GCST008174	31219225	Young KA	2019-06-20	3,644 Mexican American ancestry individuals	NA	initial	3644	Hispanic or Latin American	NR	U.S.	Mexican American
GCST008231	31226226	Du Z	2019-06-21	2,714 Hispanic or Latin American cases, 5,239 Hispanic or Latin American controls	NA	initial	7953	Hispanic or Latin American	NR	U.S.	
GCST007600	30636644	Nazarian A	2019-01-12	952 European ancestry male cases, 1,789 European ancestry female cases, 6,337 European ancestry male controls, 8,402 European ancestry female controls	NA	initial	17480	European	NR	U.S., NR	
GCST007549	30794219	MacInnes SJ	2019-02-01	1,096 European ancestry cases, 2,418 European ancestry controls	NA	initial	3514	European	NR	Norway, U.K.	
GCST007550	30794219	MacInnes SJ	2019-02-01	1,096 European ancestry cases	NA	initial	1096	European	NR	Norway, U.K.	
GCST007829	28234671	Nandakumar P	2017-07-01	11,156 African American individuals, 4,758 African ancestry individuals	NA	initial	4758	Sub-Saharan African	NR	Ghana, Nigeria	African, West African
GCST007829	28234671	Nandakumar P	2017-07-01	11,156 African American individuals, 4,758 African ancestry individuals	NA	initial	11156	African American or Afro-Caribbean	NR	U.S.	African American
GCST007828	28234671	Nandakumar P	2017-07-01	11,156 African American individuals, 4,758 African ancestry individuals	NA	initial	11156	African American or Afro-Caribbean	NR	U.S.	African American
GCST007828	28234671	Nandakumar P	2017-07-01	11,156 African American individuals, 4,758 African ancestry individuals	NA	initial	4758	Sub-Saharan African	NR	Ghana, Nigeria	African, West African
GCST007686	30922102	Pardinas AF	2019-03-29	2,989 European ancestry individuals	NA	initial	2989	European	NR	U.K.	
GCST007684	30922102	Pardinas AF	2019-03-29	2,989 European ancestry individuals	NA	initial	2989	European	NR	U.K.	
GCST007685	30922102	Pardinas AF	2019-03-29	2,989 European ancestry individuals	NA	initial	2989	European	NR	U.K.	
GCST007718	30910378	Zanetti D	2019-03-12	218,759 European ancestry individuals	109,530 European ancestry individuals	replication	109530	European	NR	U.K.	
GCST007718	30910378	Zanetti D	2019-03-12	218,759 European ancestry individuals	109,530 European ancestry individuals	initial	218759	European	NR	U.K.	
GCST007721	30910378	Zanetti D	2019-03-12	218,435 European ancestry individuals	109,178 European ancestry individuals	initial	218435	European	NR	U.K.	
GCST007721	30910378	Zanetti D	2019-03-12	218,435 European ancestry individuals	109,178 European ancestry individuals	replication	109178	European	NR	U.K.	
GCST007778	30910378	Zanetti D	2019-03-12	218,450 European ancestry individuals	109,166 European ancestry individuals	replication	109166	European	NR	U.K.	
GCST007778	30910378	Zanetti D	2019-03-12	218,450 European ancestry individuals	109,166 European ancestry individuals	initial	218450	European	NR	U.K.	
GCST007717	30910378	Zanetti D	2019-03-12	217,996 European ancestry individuals	108,942 European ancestry individuals	initial	217996	European	NR	U.K.	
GCST007717	30910378	Zanetti D	2019-03-12	217,996 European ancestry individuals	108,942 European ancestry individuals	replication	108942	European	NR	U.K.	
GCST007719	30910378	Zanetti D	2019-03-12	217,634 European ancestry individuals	108,800 European ancestry individuals	replication	108800	European	NR	U.K.	
GCST007719	30910378	Zanetti D	2019-03-12	217,634 European ancestry individuals	108,800 European ancestry individuals	initial	217634	European	NR	U.K.	
GCST008907	30902966	Mufford M	2019-03-22	4,644 European ancestry Tourette syndrome cases, 8,695 European ancestry Tourette syndrome controls, 30,717 European ancestry individuals with subcortical brain volume measurements	NA	initial	44056	European	NR	NR	
GCST008908	30902966	Mufford M	2019-03-22	1,414 European ancestry Tourette syndrome cases with social disinhibition measurements, 30,717 European ancestry individuals with subcortical brain volume measurements	NA	initial	32131	European	NR	NR	
GCST008909	30902966	Mufford M	2019-03-22	1,419 European ancestry Tourette syndrome cases with symmetry behaviour measurements, 30,717 European ancestry individuals with subcortical brain volume measurements	NA	initial	32136	European	NR	NR	
GCST008202	31217265	Sliz E	2019-06-19	5,284 Finnish ancestry individuals	NA	initial	5284	European	NR	Finland	
GCST008210	31217265	Sliz E	2019-06-19	5,284 Finnish ancestry individuals	NA	initial	5284	European	NR	Finland	
GCST008196	31217265	Sliz E	2019-06-19	5,284 Finnish ancestry individuals	NA	initial	5284	European	NR	Finland	
GCST008207	31217265	Sliz E	2019-06-19	5,284 Finnish ancestry individuals	NA	initial	5284	European	NR	Finland	
GCST008208	31217265	Sliz E	2019-06-19	5,284 Finnish ancestry individuals	NA	initial	5284	European	NR	Finland	
GCST008206	31217265	Sliz E	2019-06-19	5,284 Finnish ancestry individuals	NA	initial	5284	European	NR	Finland	
GCST008198	31217265	Sliz E	2019-06-19	13,577 Finnish ancestry individuals	NA	initial	13577	European	NR	Finland	
GCST008205	31217265	Sliz E	2019-06-19	13,577 Finnish ancestry individuals	NA	initial	13577	European	NR	Finland	
GCST008204	31217265	Sliz E	2019-06-19	13,577 Finnish ancestry individuals	NA	initial	13577	European	NR	Finland	
GCST008209	31217265	Sliz E	2019-06-19	13,577 Finnish ancestry individuals	NA	initial	13577	European	NR	Finland	
GCST008203	31217265	Sliz E	2019-06-19	13,577 Finnish ancestry individuals	NA	initial	13577	European	NR	Finland	
GCST008201	31217265	Sliz E	2019-06-19	13,577 Finnish ancestry individuals	NA	initial	13577	European	NR	Finland	
GCST008200	31217265	Sliz E	2019-06-19	13,577 Finnish ancestry individuals	NA	initial	13577	European	NR	Finland	
GCST008197	31217265	Sliz E	2019-06-19	13,577 Finnish ancestry individuals	NA	initial	13577	European	NR	Finland	
GCST008199	31217265	Sliz E	2019-06-19	13,577 Finnish ancestry individuals	NA	initial	13577	European	NR	Finland	
GCST008211	31217265	Sliz E	2019-06-19	13,577 Finnish ancestry individuals	NA	initial	13577	European	NR	Finland	
GCST007920	29124443	Yasukochi Y	2017-11-09	606 Japanese ancestry cases, 1,040 Japanese ancestry controls	2,517 Japanese ancestry cases, 885 Japanese ancestry controls	replication	3402	East Asian	NR	Japan	Japanese
GCST007920	29124443	Yasukochi Y	2017-11-09	606 Japanese ancestry cases, 1,040 Japanese ancestry controls	2,517 Japanese ancestry cases, 885 Japanese ancestry controls	initial	1646	East Asian	NR	Japan	Japanese
GCST007916	29124443	Yasukochi Y	2017-11-09	847 Japanese ancestry cases, 4,640 Japanese ancestry controls	972 Japanese ancestry cases, 4,584 Japanese ancestry controls	replication	5556	East Asian	NR	Japan	Japanese
GCST007916	29124443	Yasukochi Y	2017-11-09	847 Japanese ancestry cases, 4,640 Japanese ancestry controls	972 Japanese ancestry cases, 4,584 Japanese ancestry controls	initial	5487	East Asian	NR	Japan	Japanese
GCST007918	29124443	Yasukochi Y	2017-11-09	5,847 Japanese ancestry individuals	NA	initial	5847	East Asian	NR	Japan	Japanese
GCST007917	29124443	Yasukochi Y	2017-11-09	5,636 Japanese ancestry individuals	NA	initial	5636	East Asian	NR	Japan	Japanese
GCST007919	29124443	Yasukochi Y	2017-11-09	5,636 Japanese ancestry individuals	NA	initial	5636	East Asian	NR	Japan	Japanese
GCST005906	29608257	Painter JN	2018-04-02	3,194 endometriosis cases, 5,330 non-endometriosis controls, 2,057 endometrial cancer cases, 3,866 non-endometrial cancer controls	NA	initial	14446	NR	NR	Australia, U.K., NR	Australian, UK
GCST005688	29608535	Kuehn MH	2018-03-30	63 European ancestry cases, 21 African American cases, 4 Native American cases, 1 Asian cases, 6 cases, 61 European ancestry controls, 21 African American controls, 3 Native American controls, 1 Asian controls, 9 controls	NA	initial	42	African American or Afro-Caribbean	NR	Canada, U.S.	African American
GCST005688	29608535	Kuehn MH	2018-03-30	63 European ancestry cases, 21 African American cases, 4 Native American cases, 1 Asian cases, 6 cases, 61 European ancestry controls, 21 African American controls, 3 Native American controls, 1 Asian controls, 9 controls	NA	initial	2	Asian unspecified	NR	Canada, U.S.	Asian
GCST005688	29608535	Kuehn MH	2018-03-30	63 European ancestry cases, 21 African American cases, 4 Native American cases, 1 Asian cases, 6 cases, 61 European ancestry controls, 21 African American controls, 3 Native American controls, 1 Asian controls, 9 controls	NA	initial	15	NR	NR	Canada, U.S.	
GCST005688	29608535	Kuehn MH	2018-03-30	63 European ancestry cases, 21 African American cases, 4 Native American cases, 1 Asian cases, 6 cases, 61 European ancestry controls, 21 African American controls, 3 Native American controls, 1 Asian controls, 9 controls	NA	initial	7	Native American	NR	Canada, U.S.	
GCST005688	29608535	Kuehn MH	2018-03-30	63 European ancestry cases, 21 African American cases, 4 Native American cases, 1 Asian cases, 6 cases, 61 European ancestry controls, 21 African American controls, 3 Native American controls, 1 Asian controls, 9 controls	NA	initial	124	European	NR	U.S., Canada	Caucasian
GCST007775	30699873	van der Merwe C	2018-11-13	7,016 European ancestry anxiety disorder cases, 14,745 European ancestry controls, 13,171 European ancestry individuals	NA	initial	34932	European	NR	NR	
GCST007776	30699873	van der Merwe C	2018-11-13	2,424 European ancestry post-traumatic stress disorder cases, 7,113 European ancestry controls, 13,171 European ancestry individuals	NA	initial	22708	European	NR	NR	
GCST007203	30498476	Liu H	2018-11-15	139 Chinese ancestry dizygotic twin pairs	NA	initial	278	East Asian	NR	China	Chinese
GCST007202	30498476	Liu H	2018-11-15	139 Chinese ancestry dizygotic twin pairs	NA	initial	278	East Asian	NR	China	Chinese
GCST007204	30498476	Liu H	2018-11-15	139 Chinese ancestry dizygotic twin pairs	NA	initial	278	East Asian	NR	China	Chinese
GCST007190	30363675	Cha EDK	2018-09-27	2,545 European ancestry individuals	NA	initial	2545	European	NR	U.S.	
