indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_rank,candidate_score,matched_mesh_term,matched_phenotype_text,exact_term_match,token_containment,token_jaccard,phrase_inclusion,sequence_similarity,panukb_phenotype_id,trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,pops_pass_qc,num_pops_pass_qc,filename,filename_tabix,aws_path,aws_path_tabix,n_cases_AFR,n_controls_AFR,phenotype_qc_AFR,n_cases_AMR,n_controls_AMR,phenotype_qc_AMR,n_cases_CSA,n_controls_CSA,phenotype_qc_CSA,n_cases_EAS,n_controls_EAS,phenotype_qc_EAS,n_cases_EUR,n_controls_EUR,phenotype_qc_EUR,n_cases_MID,n_controls_MID,phenotype_qc_MID,strong_lexical_candidate,informative_mesh_tokens,informative_phenotype_tokens,shared_informative_tokens,n_shared_informative_tokens,conservative_containment,conservative_jaccard,exact_normalized_term,normalized_phrase_inclusion,subtype_conflict,scope_relation,conservative_matched_mesh_term,conservative_matched_phenotype_text
D009290,Narcolepsy,Narcolepsy,2,2,1,1,3,51.90860215053763,"Sleep, Paroxysmal",Sleep disorders,False,0.5,0.3333333333333333,False,0.5161290322580645,phecode|327|both_sexes||,phecode,327,both_sexes,,,Sleep disorders,,,"CSA,EUR",2,phecode-327-both_sexes.tsv.bgz,phecode-327-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-327-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-327-both_sexes.tsv.bgz.tbi,141.0,6495.0,h2_z_insignificant,,,,174.0,8702.0,PASS,,,,6623.0,413908.0,PASS,52.0,1547.0,h2_z_insignificant,True,paroxysmal | sleep,sleep,sleep,1,1.0,0.5,False,False,False,phenotype_broader,"Sleep, Paroxysmal",Sleep disorders
D009765,Obesity,Obesity,31,31,4,27,1,255.0,Obesity,E66 Obesity,True,1.0,1.0,True,1.0,icd10|E66|both_sexes||,icd10,E66,both_sexes,,,E66 Obesity,truncated: true,,"EUR,MID",2,icd10-E66-both_sexes.tsv.bgz,icd10-E66-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E66-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E66-both_sexes.tsv.bgz.tbi,421.0,6215.0,h2_z_insignificant,,,,362.0,8514.0,h2_z_insignificant,,,,15917.0,404614.0,PASS,79.0,1520.0,PASS,True,obesity,obesity,obesity,1,1.0,1.0,True,True,False,same_informative_tokens,Obesity,E66 Obesity
D010003,Osteoarthritis,Osteoarthritis,2,2,1,1,1,255.0,Osteoarthrosis,Osteoarthrosis,True,1.0,1.0,True,1.0,phecode|740|both_sexes||,phecode,740,both_sexes,,,Osteoarthrosis,,,"EUR,MID",2,phecode-740-both_sexes.tsv.bgz,phecode-740-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-740-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-740-both_sexes.tsv.bgz.tbi,423.0,6213.0,h2_z_insignificant,53.0,927.0,n_too_low,547.0,8329.0,h2_z_insignificant,74.0,2635.0,h2_z_insignificant,36073.0,384458.0,PASS,86.0,1513.0,PASS,True,osteoarthrosi,osteoarthrosi,osteoarthrosi,1,1.0,1.0,True,True,False,same_informative_tokens,Osteoarthrosis,Osteoarthrosis
D010003,Osteoarthritis,Osteoarthritis,2,2,1,1,2,103.7719298245614,Arthrosis,M16 Coxarthrosis [arthrosis of hip],False,1.0,0.3333333333333333,True,0.4736842105263157,icd10|M16|both_sexes||,icd10,M16,both_sexes,,,M16 Coxarthrosis [arthrosis of hip],truncated: true,,"CSA,EUR",2,icd10-M16-both_sexes.tsv.bgz,icd10-M16-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-M16-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-M16-both_sexes.tsv.bgz.tbi,71.0,6565.0,h2_z_insignificant,,,,60.0,8816.0,PASS,,,,14999.0,405532.0,PASS,,,,True,arthrosi,arthrosi | coxarthrosi | hip,arthrosi,1,1.0,0.3333333333333333,False,True,False,phenotype_more_specific,Arthrosis,M16 Coxarthrosis [arthrosis of hip]
D010003,Osteoarthritis,Osteoarthritis,2,2,1,1,3,103.5897435897436,Arthrosis,M17 Gonarthrosis [arthrosis of knee],False,1.0,0.3333333333333333,True,0.4615384615384615,icd10|M17|both_sexes||,icd10,M17,both_sexes,,,M17 Gonarthrosis [arthrosis of knee],truncated: true,,"EUR,MID",2,icd10-M17-both_sexes.tsv.bgz,icd10-M17-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-M17-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-M17-both_sexes.tsv.bgz.tbi,408.0,6228.0,h2_z_insignificant,,,,595.0,8281.0,h2_z_insignificant,73.0,2636.0,h2_z_insignificant,24753.0,395778.0,PASS,76.0,1523.0,PASS,True,arthrosi,arthrosi | gonarthrosi | knee,arthrosi,1,1.0,0.3333333333333333,False,True,False,phenotype_more_specific,Arthrosis,M17 Gonarthrosis [arthrosis of knee]
D029424,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",20,20,3,17,1,133.875,Chronic Obstructive Pulmonary Disease,J44 Other chronic obstructive pulmonary disease,False,1.0,1.0,True,0.925,icd10|J44|both_sexes||,icd10,J44,both_sexes,,,J44 Other chronic obstructive pulmonary disease,truncated: true,,"CSA,EUR",2,icd10-J44-both_sexes.tsv.bgz,icd10-J44-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J44-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J44-both_sexes.tsv.bgz.tbi,74.0,6562.0,h2_z_insignificant,,,,152.0,8724.0,PASS,,,,11536.0,408995.0,PASS,,,,True,chronic | obstructive | pulmonary,chronic | obstructive | pulmonary,chronic | obstructive | pulmonary,3,1.0,1.0,False,True,False,same_informative_tokens,Chronic Obstructive Pulmonary Disease,J44 Other chronic obstructive pulmonary disease
D020178,"Sleep Disorders, Circadian Rhythm","Sleep Disorders, Circadian Rhythm",1,1,1,0,1,113.47560975609755,Shift-Work Sleep Disorders,G47 Sleep disorders,False,1.0,0.5,True,0.7317073170731707,icd10|G47|both_sexes||,icd10,G47,both_sexes,,,G47 Sleep disorders,truncated: true,,"CSA,EUR",2,icd10-G47-both_sexes.tsv.bgz,icd10-G47-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-G47-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-G47-both_sexes.tsv.bgz.tbi,140.0,6496.0,h2_z_insignificant,,,,173.0,8703.0,PASS,,,,6557.0,413974.0,PASS,52.0,1547.0,h2_z_insignificant,True,shift | sleep | work,sleep,sleep,1,1.0,0.3333333333333333,False,True,False,phenotype_broader,Shift-Work Sleep Disorders,G47 Sleep disorders
D020178,"Sleep Disorders, Circadian Rhythm","Sleep Disorders, Circadian Rhythm",1,1,1,0,2,113.47560975609755,Shift-Work Sleep Disorders,Sleep disorders,False,1.0,0.5,True,0.7317073170731707,phecode|327|both_sexes||,phecode,327,both_sexes,,,Sleep disorders,,,"CSA,EUR",2,phecode-327-both_sexes.tsv.bgz,phecode-327-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-327-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-327-both_sexes.tsv.bgz.tbi,141.0,6495.0,h2_z_insignificant,,,,174.0,8702.0,PASS,,,,6623.0,413908.0,PASS,52.0,1547.0,h2_z_insignificant,True,shift | sleep | work,sleep,sleep,1,1.0,0.3333333333333333,False,True,False,phenotype_broader,Shift-Work Sleep Disorders,Sleep disorders
D012893,Sleep Wake Disorders,Sleep Wake Disorders,5,5,1,4,1,255.0,Sleep Disorders,G47 Sleep disorders,True,1.0,1.0,True,1.0,icd10|G47|both_sexes||,icd10,G47,both_sexes,,,G47 Sleep disorders,truncated: true,,"CSA,EUR",2,icd10-G47-both_sexes.tsv.bgz,icd10-G47-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-G47-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-G47-both_sexes.tsv.bgz.tbi,140.0,6496.0,h2_z_insignificant,,,,173.0,8703.0,PASS,,,,6557.0,413974.0,PASS,52.0,1547.0,h2_z_insignificant,True,sleep,sleep,sleep,1,1.0,1.0,True,True,False,same_informative_tokens,Sleep Disorders,G47 Sleep disorders
D012893,Sleep Wake Disorders,Sleep Wake Disorders,5,5,1,4,2,255.0,Sleep Disorders,Sleep disorders,True,1.0,1.0,True,1.0,phecode|327|both_sexes||,phecode,327,both_sexes,,,Sleep disorders,,,"CSA,EUR",2,phecode-327-both_sexes.tsv.bgz,phecode-327-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-327-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-327-both_sexes.tsv.bgz.tbi,141.0,6495.0,h2_z_insignificant,,,,174.0,8702.0,PASS,,,,6623.0,413908.0,PASS,52.0,1547.0,h2_z_insignificant,True,sleep,sleep,sleep,1,1.0,1.0,True,True,False,same_informative_tokens,Sleep Disorders,Sleep disorders
D012893,Sleep Wake Disorders,Sleep Wake Disorders,5,5,1,4,4,52.56666666666666,Sleep Disorder,Sleep apnea,False,0.5,0.3333333333333333,False,0.56,phecode|327.3|both_sexes||,phecode,327.3,both_sexes,,,Sleep apnea,,,"CSA,EUR",2,phecode-327.3-both_sexes.tsv.bgz,phecode-327.3-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-327.3-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-327.3-both_sexes.tsv.bgz.tbi,127.0,6495.0,h2_z_insignificant,,,,151.0,8702.0,PASS,,,,5621.0,413908.0,PASS,,,,True,sleep,apnea | sleep,sleep,1,1.0,0.5,False,False,False,phenotype_more_specific,Sleep Disorder,Sleep apnea
D014029,Tobacco Use Disorder,Tobacco Use Disorder,4,4,1,3,1,255.0,Tobacco Use Disorder,Tobacco use disorder,True,1.0,1.0,True,1.0,phecode|318|both_sexes||,phecode,318,both_sexes,,,Tobacco use disorder,,,"EAS,EUR",2,phecode-318-both_sexes.tsv.bgz,phecode-318-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-318-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-318-both_sexes.tsv.bgz.tbi,254.0,6272.0,h2_z_insignificant,,,,275.0,8471.0,h2_z_insignificant,50.0,2641.0,PASS,14988.0,392046.0,PASS,81.0,1493.0,h2_z_insignificant,True,tobacco | use,tobacco | use,tobacco | use,2,1.0,1.0,True,True,False,same_informative_tokens,Tobacco Use Disorder,Tobacco use disorder
D014647,Varicose Ulcer,Varicose Ulcer,1,1,0,1,1,106.3963963963964,"Hypertension Ulcer, Venous",Hypertension,False,1.0,0.3333333333333333,True,0.6486486486486487,phecode|401|both_sexes||,phecode,401,both_sexes,,,Hypertension,,,"CSA,EUR",2,phecode-401-both_sexes.tsv.bgz,phecode-401-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-401-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-401-both_sexes.tsv.bgz.tbi,2037.0,4589.0,h2_z_insignificant,160.0,816.0,n_too_low,2690.0,6170.0,PASS,431.0,2272.0,h2_z_insignificant,94311.0,325488.0,PASS,348.0,1245.0,h2_z_insignificant,True,hypertension | ulcer | venou,hypertension,hypertension,1,1.0,0.3333333333333333,False,True,False,phenotype_broader,"Hypertension Ulcer, Venous",Hypertension
