indication_mesh_id,indication_mesh_term,n_pairs,n_genes,n_A,n_B,candidate_rank,candidate_rank_score,lexical_score,exact_normalized_match,token_containment,token_jaccard,sequence_similarity,panukb_phenotype_id,trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,category,is_binary,is_quantitative,pops_pass_qc,num_pops_pass_qc,filename,filename_tabix,aws_path,aws_path_tabix,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,phenotype_qc_AFR,phenotype_qc_AMR,phenotype_qc_CSA,phenotype_qc_EAS,phenotype_qc_EUR,phenotype_qc_MID
D003876,"Dermatitis, Atopic",12,12,2,10,6,12.049740581998645,9.049740581998645,False,0.0,0.0,0.45161290322580644,categorical|20004|both_sexes|1480|,categorical,20004,both_sexes,1480,,Operation code,"Code for operation. If the participant was uncertain of the type of operation they had undergone, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the operation could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",UK Biobank Assessment Centre > Verbal interview > Operations,True,False,"AFR,EUR",2,categorical-20004-both_sexes-1480.tsv.bgz,categorical-20004-both_sexes-1480.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20004-both_sexes-1480.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20004-both_sexes-1480.tsv.bgz.tbi,124.0,,132.0,69.0,16504.0,,6500.0,,8717.0,2638.0,403969.0,,PASS,,h2_z_insignificant,h2_z_insignificant,PASS,
D003876,"Dermatitis, Atopic",12,12,2,10,7,12.049740581998645,9.049740581998645,False,0.0,0.0,0.45161290322580644,categorical|20004|both_sexes|1483|,categorical,20004,both_sexes,1483,,Operation code,"Code for operation. If the participant was uncertain of the type of operation they had undergone, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the operation could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",UK Biobank Assessment Centre > Verbal interview > Operations,True,False,"EUR,MID",2,categorical-20004-both_sexes-1483.tsv.bgz,categorical-20004-both_sexes-1483.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20004-both_sexes-1483.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20004-both_sexes-1483.tsv.bgz.tbi,125.0,,182.0,62.0,7412.0,65.0,6499.0,,8667.0,2645.0,413061.0,1530.0,h2_z_insignificant,,h2_z_insignificant,h2_z_insignificant,PASS,PASS
D003876,"Dermatitis, Atopic",12,12,2,10,8,11.64864864864865,8.64864864864865,False,0.0,0.0,0.43243243243243246,phecode|550.2|both_sexes||,phecode,550.2,both_sexes,,,Diaphragmatic hernia,,digestive,True,False,"CSA,EUR,MID",3,phecode-550.2-both_sexes.tsv.bgz,phecode-550.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-550.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-550.2-both_sexes.tsv.bgz.tbi,326.0,70.0,660.0,88.0,33482.0,139.0,6019.0,868.0,7837.0,2581.0,363863.0,1375.0,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,PASS
D003920,Diabetes Mellitus,13,13,2,11,1,198.0,195.0,True,1.0,1.0,1.0,phecode|250|both_sexes||,phecode,250,both_sexes,,,Diabetes mellitus,,endocrine/metabolic,True,False,"CSA,EUR",2,phecode-250-both_sexes.tsv.bgz,phecode-250-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi,843.0,,1695.0,154.0,24348.0,175.0,5793.0,,7181.0,2555.0,396181.0,1424.0,h2_z_insignificant,,PASS,h2_z_insignificant,PASS,h2_z_insignificant
D003920,Diabetes Mellitus,13,13,2,11,2,70.94623655913978,67.94623655913978,False,1.0,0.3333333333333333,0.5666666666666667,icd10|E11|both_sexes||,icd10,E11,both_sexes,,,E11 Non-insulin-dependent diabetes mellitus,truncated: true,"Chapter IV Endocrine, nutritional and metabolic diseases | E10-E14 Diabetes mellitus | E11 Non-insulin-dependent diabetes mellitus",True,False,"CSA,EUR",2,icd10-E11-both_sexes.tsv.bgz,icd10-E11-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E11-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E11-both_sexes.tsv.bgz.tbi,792.0,,1662.0,152.0,22634.0,170.0,5844.0,,7214.0,2557.0,397897.0,1429.0,h2_z_insignificant,,PASS,h2_z_insignificant,PASS,h2_z_insignificant
D003920,Diabetes Mellitus,13,13,2,11,3,45.5,42.5,False,0.5,0.3333333333333333,0.5,phecode|250.2|both_sexes||,phecode,250.2,both_sexes,,,Type 2 diabetes,,endocrine/metabolic,True,False,"CSA,EUR",2,phecode-250.2-both_sexes.tsv.bgz,phecode-250.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi,796.0,,1664.0,152.0,22768.0,170.0,5793.0,,7181.0,2555.0,396181.0,1424.0,h2_z_insignificant,,PASS,h2_z_insignificant,PASS,h2_z_insignificant
D003920,Diabetes Mellitus,13,13,2,11,4,41.37301587301587,38.37301587301587,False,0.5,0.2,0.4888888888888889,categorical|2443|both_sexes|2443|,categorical,2443,both_sexes,2443,,Diabetes diagnosed by doctor,"ACE touchscreen question ""Has a doctor ever told you that you have diabetes?"" If the participant activated the Help button they were shown the message:     If you are unsure if you have been told you had diabetes, select Do not know and you will be asked about this by an interviewer later during this visit.     ",UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,True,False,"CSA,EUR",2,categorical-2443-both_sexes-2443.tsv.bgz,categorical-2443-both_sexes-2443.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-2443-both_sexes-2443.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-2443-both_sexes-2443.tsv.bgz.tbi,777.0,,1554.0,159.0,20294.0,175.0,5734.0,,7009.0,2444.0,399083.0,1371.0,h2_z_insignificant,,PASS,h2_z_insignificant,PASS,h2_z_insignificant
D003920,Diabetes Mellitus,13,13,2,11,5,34.182680902715276,31.182680902715276,False,0.5,0.00847457627118644,0.42105263157894735,categorical|20111|both_sexes|1|,categorical,20111,both_sexes,1,,Illnesses of siblings,"This field contains the combined results of 2 ACE touchscreen questions, both asked ""Have any of your brothers or sisters suffered from any of the following diseases? (You can select more than one answer)"" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets:      Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes.   Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer, Breast cancer.     If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed.  If the participant activated the Help button they were shown the message:     Answer this question for blood relations only. Include any sisters or brothers who have died. If you are not sure if your sisters or brothers suffered from any of the listed illnesses please select Do not know. If more than one sister or brother has suffered from any of the listed illnesses, you only need to select the illness once.     The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and that they had at least one natural brother or sister, as defined by their answers to ~F1873~ and ~F1883~.",UK Biobank Assessment Centre > Touchscreen > Family history,True,False,"AFR,EUR",2,categorical-20111-both_sexes-1.tsv.bgz,categorical-20111-both_sexes-1.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20111-both_sexes-1.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20111-both_sexes-1.tsv.bgz.tbi,233.0,57.0,1178.0,191.0,34434.0,132.0,4754.0,690.0,6124.0,1968.0,295907.0,1130.0,PASS,n_too_low,h2_z_insignificant,h2_z_insignificant,PASS,h2_z_insignificant
D003920,Diabetes Mellitus,13,13,2,11,6,34.182680902715276,31.182680902715276,False,0.5,0.00847457627118644,0.42105263157894735,categorical|20111|both_sexes|100|,categorical,20111,both_sexes,100,,Illnesses of siblings,"This field contains the combined results of 2 ACE touchscreen questions, both asked ""Have any of your brothers or sisters suffered from any of the following diseases? (You can select more than one answer)"" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets:      Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes.   Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer, Breast cancer.     If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed.  If the participant activated the Help button they were shown the message:     Answer this question for blood relations only. Include any sisters or brothers who have died. If you are not sure if your sisters or brothers suffered from any of the listed illnesses please select Do not know. If more than one sister or brother has suffered from any of the listed illnesses, you only need to select the illness once.     The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and that they had at least one natural brother or sister, as defined by their answers to ~F1873~ and ~F1883~.",UK Biobank Assessment Centre > Touchscreen > Family history,True,False,"CSA,EUR",2,categorical-20111-both_sexes-100.tsv.bgz,categorical-20111-both_sexes-100.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20111-both_sexes-100.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20111-both_sexes-100.tsv.bgz.tbi,2911.0,514.0,3631.0,1325.0,223101.0,767.0,2136.0,235.0,3658.0,844.0,108548.0,499.0,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
D003920,Diabetes Mellitus,13,13,2,11,7,34.182680902715276,31.182680902715276,False,0.5,0.00847457627118644,0.42105263157894735,categorical|20111|both_sexes|101|,categorical,20111,both_sexes,101,,Illnesses of siblings,"This field contains the combined results of 2 ACE touchscreen questions, both asked ""Have any of your brothers or sisters suffered from any of the following diseases? (You can select more than one answer)"" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets:      Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes.   Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer, Breast cancer.     If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed.  If the participant activated the Help button they were shown the message:     Answer this question for blood relations only. Include any sisters or brothers who have died. If you are not sure if your sisters or brothers suffered from any of the listed illnesses please select Do not know. If more than one sister or brother has suffered from any of the listed illnesses, you only need to select the illness once.     The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and that they had at least one natural brother or sister, as defined by their answers to ~F1873~ and ~F1883~.",UK Biobank Assessment Centre > Touchscreen > Family history,True,False,"AFR,EUR",2,categorical-20111-both_sexes-101.tsv.bgz,categorical-20111-both_sexes-101.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20111-both_sexes-101.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20111-both_sexes-101.tsv.bgz.tbi,4471.0,635.0,6489.0,1930.0,281648.0,1060.0,630.0,120.0,835.0,263.0,53410.0,206.0,PASS,n_too_low,h2_z_insignificant,h2_z_insignificant,PASS,h2_z_insignificant
D003920,Diabetes Mellitus,13,13,2,11,8,34.182680902715276,31.182680902715276,False,0.5,0.00847457627118644,0.42105263157894735,categorical|20111|both_sexes|9|,categorical,20111,both_sexes,9,,Illnesses of siblings,"This field contains the combined results of 2 ACE touchscreen questions, both asked ""Have any of your brothers or sisters suffered from any of the following diseases? (You can select more than one answer)"" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets:      Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes.   Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer, Breast cancer.     If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed.  If the participant activated the Help button they were shown the message:     Answer this question for blood relations only. Include any sisters or brothers who have died. If you are not sure if your sisters or brothers suffered from any of the listed illnesses please select Do not know. If more than one sister or brother has suffered from any of the listed illnesses, you only need to select the illness once.     The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and that they had at least one natural brother or sister, as defined by their answers to ~F1873~ and ~F1883~.",UK Biobank Assessment Centre > Touchscreen > Family history,True,False,"CSA,EUR",2,categorical-20111-both_sexes-9.tsv.bgz,categorical-20111-both_sexes-9.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20111-both_sexes-9.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20111-both_sexes-9.tsv.bgz.tbi,987.0,79.0,2259.0,371.0,28107.0,240.0,4085.0,670.0,5142.0,1801.0,301553.0,1033.0,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
D003922,"Diabetes Mellitus, Type 1",4,4,0,4,1,84.58536585365854,81.58536585365854,False,1.0,0.6666666666666666,0.8292682926829268,phecode|250|both_sexes||,phecode,250,both_sexes,,,Diabetes mellitus,,endocrine/metabolic,True,False,"CSA,EUR",2,phecode-250-both_sexes.tsv.bgz,phecode-250-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi,843.0,,1695.0,154.0,24348.0,175.0,5793.0,,7181.0,2555.0,396181.0,1424.0,h2_z_insignificant,,PASS,h2_z_insignificant,PASS,h2_z_insignificant
D003922,"Diabetes Mellitus, Type 1",4,4,0,4,2,76.2051282051282,73.2051282051282,False,1.0,0.6666666666666666,0.41025641025641024,phecode|250.2|both_sexes||,phecode,250.2,both_sexes,,,Type 2 diabetes,,endocrine/metabolic,True,False,"CSA,EUR",2,phecode-250.2-both_sexes.tsv.bgz,phecode-250.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi,796.0,,1664.0,152.0,22768.0,170.0,5793.0,,7181.0,2555.0,396181.0,1424.0,h2_z_insignificant,,PASS,h2_z_insignificant,PASS,h2_z_insignificant
D003922,"Diabetes Mellitus, Type 1",4,4,0,4,3,53.29962967119291,50.29962967119291,False,0.6666666666666666,0.2857142857142857,0.5074626865671642,icd10|E11|both_sexes||,icd10,E11,both_sexes,,,E11 Non-insulin-dependent diabetes mellitus,truncated: true,"Chapter IV Endocrine, nutritional and metabolic diseases | E10-E14 Diabetes mellitus | E11 Non-insulin-dependent diabetes mellitus",True,False,"CSA,EUR",2,icd10-E11-both_sexes.tsv.bgz,icd10-E11-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E11-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E11-both_sexes.tsv.bgz.tbi,792.0,,1662.0,152.0,22634.0,170.0,5844.0,,7214.0,2557.0,397897.0,1429.0,h2_z_insignificant,,PASS,h2_z_insignificant,PASS,h2_z_insignificant
D003922,"Diabetes Mellitus, Type 1",4,4,0,4,4,41.10964912280702,38.10964912280702,False,0.5,0.25,0.4,categorical|1468|both_sexes|2|,categorical,1468,both_sexes,2,,Cereal type,"ACE touchscreen question ""What type of cereal do you mainly eat?"" If the participant activated the Help button they were shown the message:     If you eat more than one type of cereal, please select the one that you eat the most. If you are unsure, select Do not know.      ~F1468~ was collected from all participants except those who indicated that they do not eat cereal or less than one bowl of cereal each week, as defined by their answers to ~F1458~",UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,True,False,"EUR,MID",2,categorical-1468-both_sexes-2.tsv.bgz,categorical-1468-both_sexes-2.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1468-both_sexes-2.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1468-both_sexes-2.tsv.bgz.tbi,749.0,88.0,1365.0,196.0,62649.0,171.0,4114.0,601.0,5090.0,1432.0,286878.0,886.0,h2_z_insignificant,n_too_low,h2_z_insignificant,h2_z_insignificant,PASS,PASS
D003922,"Diabetes Mellitus, Type 1",4,4,0,4,5,41.10964912280702,38.10964912280702,False,0.5,0.25,0.4,categorical|1468|both_sexes|4|,categorical,1468,both_sexes,4,,Cereal type,"ACE touchscreen question ""What type of cereal do you mainly eat?"" If the participant activated the Help button they were shown the message:     If you eat more than one type of cereal, please select the one that you eat the most. If you are unsure, select Do not know.      ~F1468~ was collected from all participants except those who indicated that they do not eat cereal or less than one bowl of cereal each week, as defined by their answers to ~F1458~",UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,True,False,"EUR,MID",2,categorical-1468-both_sexes-4.tsv.bgz,categorical-1468-both_sexes-4.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1468-both_sexes-4.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1468-both_sexes-4.tsv.bgz.tbi,586.0,138.0,866.0,332.0,70931.0,213.0,4277.0,551.0,5589.0,1296.0,278596.0,844.0,h2_z_insignificant,n_too_low,h2_z_insignificant,h2_z_insignificant,PASS,PASS
D003922,"Diabetes Mellitus, Type 1",4,4,0,4,6,40.14891361950186,37.14891361950186,False,0.5,0.25,0.35294117647058826,categorical|1448|both_sexes|1|,categorical,1448,both_sexes,1,,Bread type,"ACE touchscreen question ""What type of bread do you mainly eat?"" If the participant activated the Help button they were shown the message:     If you eat more than one type of bread, please select the one that you eat the most. If you are unsure, select Do not know.      ~F1448~ was collected from all participants except those who indicated that they do not eat bread or less than one slice each week, as defined by their answers to ~F1438~",UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,True,False,"EUR,MID",2,categorical-1448-both_sexes-1.tsv.bgz,categorical-1448-both_sexes-1.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1448-both_sexes-1.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1448-both_sexes-1.tsv.bgz.tbi,1820.0,236.0,2440.0,872.0,107422.0,386.0,4277.0,679.0,5845.0,1552.0,298285.0,1135.0,h2_z_insignificant,n_too_low,h2_z_insignificant,h2_z_insignificant,PASS,PASS
D003922,"Diabetes Mellitus, Type 1",4,4,0,4,7,39.892857142857146,36.892857142857146,False,0.5,0.25,0.34285714285714286,categorical|1428|both_sexes|0|,categorical,1428,both_sexes,0,,Spread type,"ACE touchscreen question ""What type of spread do you mainly use?"" If the participant activated the Help button they were shown the message:     If you use more than one type of spread, please select the one that you use the most. If you are unsure, select Do not know.     ",UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,True,False,"CSA,EUR,MID",3,categorical-1428-both_sexes-0.tsv.bgz,categorical-1428-both_sexes-0.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1428-both_sexes-0.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1428-both_sexes-0.tsv.bgz.tbi,1170.0,188.0,1232.0,564.0,42617.0,492.0,5324.0,770.0,7351.0,2038.0,376884.0,1032.0,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,PASS
D003922,"Diabetes Mellitus, Type 1",4,4,0,4,8,39.892857142857146,36.892857142857146,False,0.5,0.25,0.34285714285714286,categorical|1428|both_sexes|1|,categorical,1428,both_sexes,1,,Spread type,"ACE touchscreen question ""What type of spread do you mainly use?"" If the participant activated the Help button they were shown the message:     If you use more than one type of spread, please select the one that you use the most. If you are unsure, select Do not know.     ",UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,True,False,"EAS,EUR",2,categorical-1428-both_sexes-1.tsv.bgz,categorical-1428-both_sexes-1.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1428-both_sexes-1.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1428-both_sexes-1.tsv.bgz.tbi,2276.0,392.0,2611.0,984.0,152410.0,503.0,4218.0,566.0,5972.0,1618.0,267091.0,1021.0,h2_z_insignificant,n_too_low,h2_z_insignificant,PASS,PASS,h2_z_insignificant
D003924,"Diabetes Mellitus, Type 2",18,18,9,9,1,84.58536585365854,81.58536585365854,False,1.0,0.6666666666666666,0.8292682926829268,phecode|250|both_sexes||,phecode,250,both_sexes,,,Diabetes mellitus,,endocrine/metabolic,True,False,"CSA,EUR",2,phecode-250-both_sexes.tsv.bgz,phecode-250-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi,843.0,,1695.0,154.0,24348.0,175.0,5793.0,,7181.0,2555.0,396181.0,1424.0,h2_z_insignificant,,PASS,h2_z_insignificant,PASS,h2_z_insignificant
D003924,"Diabetes Mellitus, Type 2",18,18,9,9,2,76.2051282051282,73.2051282051282,False,1.0,0.6666666666666666,0.41025641025641024,phecode|250.2|both_sexes||,phecode,250.2,both_sexes,,,Type 2 diabetes,,endocrine/metabolic,True,False,"CSA,EUR",2,phecode-250.2-both_sexes.tsv.bgz,phecode-250.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi,796.0,,1664.0,152.0,22768.0,170.0,5793.0,,7181.0,2555.0,396181.0,1424.0,h2_z_insignificant,,PASS,h2_z_insignificant,PASS,h2_z_insignificant
D003924,"Diabetes Mellitus, Type 2",18,18,9,9,3,53.29962967119291,50.29962967119291,False,0.6666666666666666,0.2857142857142857,0.5074626865671642,icd10|E11|both_sexes||,icd10,E11,both_sexes,,,E11 Non-insulin-dependent diabetes mellitus,truncated: true,"Chapter IV Endocrine, nutritional and metabolic diseases | E10-E14 Diabetes mellitus | E11 Non-insulin-dependent diabetes mellitus",True,False,"CSA,EUR",2,icd10-E11-both_sexes.tsv.bgz,icd10-E11-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E11-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E11-both_sexes.tsv.bgz.tbi,792.0,,1662.0,152.0,22634.0,170.0,5844.0,,7214.0,2557.0,397897.0,1429.0,h2_z_insignificant,,PASS,h2_z_insignificant,PASS,h2_z_insignificant
D003924,"Diabetes Mellitus, Type 2",18,18,9,9,4,41.08771929824562,38.08771929824562,False,0.5,0.25,0.4,categorical|1468|both_sexes|2|,categorical,1468,both_sexes,2,,Cereal type,"ACE touchscreen question ""What type of cereal do you mainly eat?"" If the participant activated the Help button they were shown the message:     If you eat more than one type of cereal, please select the one that you eat the most. If you are unsure, select Do not know.      ~F1468~ was collected from all participants except those who indicated that they do not eat cereal or less than one bowl of cereal each week, as defined by their answers to ~F1458~",UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,True,False,"EUR,MID",2,categorical-1468-both_sexes-2.tsv.bgz,categorical-1468-both_sexes-2.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1468-both_sexes-2.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1468-both_sexes-2.tsv.bgz.tbi,749.0,88.0,1365.0,196.0,62649.0,171.0,4114.0,601.0,5090.0,1432.0,286878.0,886.0,h2_z_insignificant,n_too_low,h2_z_insignificant,h2_z_insignificant,PASS,PASS
D003924,"Diabetes Mellitus, Type 2",18,18,9,9,5,41.08771929824562,38.08771929824562,False,0.5,0.25,0.4,categorical|1468|both_sexes|4|,categorical,1468,both_sexes,4,,Cereal type,"ACE touchscreen question ""What type of cereal do you mainly eat?"" If the participant activated the Help button they were shown the message:     If you eat more than one type of cereal, please select the one that you eat the most. If you are unsure, select Do not know.      ~F1468~ was collected from all participants except those who indicated that they do not eat cereal or less than one bowl of cereal each week, as defined by their answers to ~F1458~",UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,True,False,"EUR,MID",2,categorical-1468-both_sexes-4.tsv.bgz,categorical-1468-both_sexes-4.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1468-both_sexes-4.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1468-both_sexes-4.tsv.bgz.tbi,586.0,138.0,866.0,332.0,70931.0,213.0,4277.0,551.0,5589.0,1296.0,278596.0,844.0,h2_z_insignificant,n_too_low,h2_z_insignificant,h2_z_insignificant,PASS,PASS
D003924,"Diabetes Mellitus, Type 2",18,18,9,9,6,40.12639109697933,37.12639109697933,False,0.5,0.25,0.35294117647058826,categorical|1448|both_sexes|1|,categorical,1448,both_sexes,1,,Bread type,"ACE touchscreen question ""What type of bread do you mainly eat?"" If the participant activated the Help button they were shown the message:     If you eat more than one type of bread, please select the one that you eat the most. If you are unsure, select Do not know.      ~F1448~ was collected from all participants except those who indicated that they do not eat bread or less than one slice each week, as defined by their answers to ~F1438~",UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,True,False,"EUR,MID",2,categorical-1448-both_sexes-1.tsv.bgz,categorical-1448-both_sexes-1.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1448-both_sexes-1.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1448-both_sexes-1.tsv.bgz.tbi,1820.0,236.0,2440.0,872.0,107422.0,386.0,4277.0,679.0,5845.0,1552.0,298285.0,1135.0,h2_z_insignificant,n_too_low,h2_z_insignificant,h2_z_insignificant,PASS,PASS
